,ce1-Ex7-In4-Ex5-Ex4-In1,ce2-Oligo-Endo,ce3-Micro-OPC,ce4-In3-In2-Astro,ce5-In6-Ex2,ce6-Ex8-Ex6,ce7-In7-Ex3,ce8-In5,ce9-In8,ce10-Ex1
lh_G&S_frontomargin_thickness,0.06833449952025683,0.5495631061355553,0.6912536310044198,0.33400457096674246,0.6450387837199915,0.08469213655743307,-1.004462611117173,-0.13251721718257567,2.2486264635681086,0.7022597997421115
lh_G&S_occipital_inf_thickness,-1.092954729734151,0.18109399917550767,-0.8642476347366709,-1.042998366486785,0.09022208701786719,-1.050575775077764,1.7196075295731446,0.64823740207287,0.4408330751186398,0.29358971918136423
lh_G&S_paracentral_thickness,-0.47482731587407184,0.34487999783125634,0.0990774904043043,-0.1914191373300195,0.465582272880034,-0.08950296302826097,-0.3387947143745339,-1.2867373057166762,-1.4407239649822816,-1.726995665125581
lh_G&S_subcentral_thickness,-0.22872844580084714,-0.5436439199578023,0.4308802218041117,-0.8181379079295732,0.8322332103704587,-0.02360930022106761,0.5575912498277806,0.20284397760661288,0.10334547786428974,-0.31283096810250377
lh_G&S_transv_frontopol_thickness,-0.36858171386703803,0.5715933997008013,-0.5398022618841353,0.18253092274063476,0.6517677207903038,-0.23737220808506088,-0.8793891519415614,-0.11844984374361489,1.632522637454279,0.6401789200295259
lh_G&S_cingul-Ant_thickness,1.4417261824161938,-0.3400948362235232,0.6454736674531598,1.6559742588470974,0.11542798320076837,1.4480617486986873,-1.877766439641191,-1.0393894373420491,-0.6738123681262673,-0.41843741398608697
lh_G&S_cingul-Mid-Ant_thickness,1.2158397564143637,0.45385120413360575,0.07298157914934313,2.2880380618065823,0.8237794446308386,1.9527162468971255,-0.7913210474905507,-0.7527585631350127,0.005878408597108371,0.6833516947519559
lh_G&S_cingul-Mid-Post_thickness,1.0117211056628979,0.010053831627605224,-0.004508312866273261,1.1855416081490264,0.668657991384757,1.101401337806982,-0.21776687061248873,-0.7056076651608044,-1.1225726289512492,-0.40472601055738716
lh_G_cingul-Post-dorsal_thickness,0.5435320414164411,-2.2792868303762037,-0.6590330368315808,1.3481422706708563,0.8060094430827749,-0.2960082385341579,0.551632757377648,-0.26373180053698286,-0.37872840634530536,0.0100934190415842
lh_G_cingul-Post-ventral_thickness,0.18600759197103633,2.157536680249549,0.8892275947722755,1.711665400862183,-0.8394652084109546,1.1762525042048089,0.20202582724820561,-0.16895210750480105,-0.7063709220519647,-2.192642435335456
lh_G_cuneus_thickness,-1.753753862252595,-0.5156040120675266,-1.6171606894359751,-1.393737192229124,-0.09805258191886632,-1.1865218074767718,1.2008913471076963,-0.2028500150478545,0.8095533125902254,-1.6894432842633382
lh_G_front_inf-Opercular_thickness,0.598276087292124,-0.7436141829846322,0.3974002504284092,-0.6635322499459816,0.14452066689197995,0.7252483557238503,0.4201233738642407,0.4189565431594013,-0.48076661368141593,-0.4804976126017902
lh_G_front_inf-Orbital_thickness,0.45196908279705345,-1.2151280335922556,1.001034068122619,-0.5365628847958724,1.1218716925290548,-0.49970599425885637,-0.12312166896424237,-0.02068365156425961,0.2299407646891254,-1.333034481057022
lh_G_front_inf-Triangul_thickness,0.692169307375937,-0.5379639488146207,0.2660049192949533,-0.681751097207823,1.0241280776258284,0.7068131062895047,0.5160131246990733,0.39987057002964327,0.79253836184597,-1.6105153260676244
lh_G_front_middle_thickness,0.19685427540266529,-0.4470112909703421,-0.17994149771703566,0.20687543858355129,0.9519228187756359,0.05579102707362784,-0.5725307727656849,-0.3685108361623511,0.5430490194932878,0.13407034147655436
lh_G_front_sup_thickness,0.6376980368074556,-0.2337287035344905,-0.06481973956946883,0.29695116764062635,0.949518030333708,0.7495964913721029,-0.7179477886901047,-0.9637756746414664,0.13074084851676793,-0.13307432876684366
