cell_type,gene
Ex1,HPCAL1
Ex1,LAMP5
Ex1,SERPINE2
Ex1,CDH9
Ex1,GNAL
Ex1,CCDC88C
Ex1,PCDH8
Ex1,PDGFD
Ex1,GREB1L
Ex1,MDGA1
Ex1,JAG1
Ex1,GPR83
Ex1,NECAB2
Ex1,CAMK2A
Ex1,DNM1
Ex1,KCNK1
Ex1,KCNV1
Ex2,GLIS3
Ex2,PTPRK
Ex2,COL5A2
Ex2,ADCY8
Ex2,TRHDE
Ex2,CLMN
Ex2,LAMA2
Ex2,OVOL2
Ex2,SYT10
Ex3,CHN1
Ex3,HR
Ex3,HTR2A
Ex3,PRDM8
Ex3,TRIM66
Ex3,NTNG1
Ex3,VAV3
Ex3,TRPC3
Ex3,VIPR2
Ex4,ANO3
Ex4,LMO4
Ex4,SCN2A
Ex4,SLC17A7
Ex4,TSHZ2
Ex4,GABRG1
Ex4,PLCXD3
Ex4,COL6A1
Ex4,ANXA1
Ex4,TNNT2
Ex4,NEUROD6
Ex4,CXXC4
Ex4,PLCXD2
Ex4,PCDH20
Ex4,PAPSS2
Ex5,CELF4
Ex5,CPNE4
Ex5,KHDRBS3
Ex5,NEUROD2
Ex5,SORCS2
Ex5,SV2B
Ex5,TLL1
Ex5,IL1RAPL2
Ex5,ARSJ
Ex5,IFITM10
Ex5,ACOT11
Ex5,RNF182
Ex5,ABCC9
Ex5,RCSD1
Ex5,ADTRP
Ex5,CELF4
Ex5,CPNE4
Ex5,KHDRBS3
Ex5,NEUROD2
Ex5,SORCS2
Ex5,SV2B
Ex6,SEMA3E
Ex6,HS3ST4
Ex6,DLC1
Ex6,KIAA1217
Ex6,GRIK3
Ex6,TLE4
Ex6,MCC
Ex6,BCL11B
Ex6,LUZP2
Ex6,ADAMTSL1
Ex6,ZFHX3
Ex6,SDK2
Ex6,GRM4
Ex6,LRRC3B
Ex6,PCSK5
Ex6,ZNF385D
Ex6,VAV2
Ex6,ATP2C2
Ex6,GHR
Ex6,RYR3
Ex6,CNTNAP3
Ex6,ANKRD18A
Ex6,SULF1
Ex6,SEMA5A
Ex6,FEZF2
Ex6,ITGA8
Ex6,SYT6
Ex6,TSPAN18
Ex6,RGS9
Ex6,PDE9A
Ex6,FOXP2
Ex6,RASL10A
Ex6,RYR2
Ex6,UNC80
Ex7,COBL
Ex7,DPYD
Ex7,NELL1
Ex7,CHST8
Ex7,SNTG2
Ex7,PRRX1
Ex8,NTNG2
Ex8,RGS12
Ex8,NR4A2
Ex8,HPSE2
Ex8,OLFML2B
Ex8,RASGEF1C
Ex8,GALNT14
Ex8,FRAS1
Ex8,CRTAC1
Ex8,SPOCK3
Ex8,MGAT5
Ex8,SYNPR
Ex8,KLHL1
Ex8,RNF152
Ex8,GFRA1
Ex8,CTNNA3
Ex8,ITGB8
Ex8,PDLIM5
Ex8,THEMIS
Ex8,PTPRU
Ex8,PLD5
Ex8,SWAP70
Ex8,TRPC5
Ex8,CREB5
Ex8,TRPM4
Ex8,ITGA11
Ex8,SFMBT2
Ex8,B3GAT2
Ex8,TESC
Ex8,SNTB1
Ex8,ATP8B1
Ex8,SYT10
Ex8,CLTCL1
Ex8,GNG4
Ex8,MYO10
Ex8,RASSF3
Ex8,RRBP1
Ex8,CDC14A
Ex8,LIMS1
Ex8,HGF
Ex8,LTBP1
Ex8,GPR153
Ex8,FAM151B
Ex8,ATP10A
Ex8,ADRA2A
Ex8,ANKRD13A
Ex8,CDK18
Ex8,LIMS2
Ex8,NFASC
Ex8,NPTX1
Ex8,PDE1A
Ex8,SATB2
Ex8,SEC14L5
Ex8,SFXN5
In1,CNR1
In1,SDK2
In2,COL21A1
In2,GABRA1
In2,KCNT2
In2,PPP1R1C
In2,SLC7A11
In2,CCDC141
In2,GPR149
In3,CALN1
In3,CIT
In3,CNTN4
In3,SVEP1
In3,TGFB2
In3,TMEM130
In3,SHISA8
In3,IGFBP5
In3,RYR3
In3,EXPH5
In3,SLC12A7
In3,KMO
In3,CRIM1
In3,EMID1
In3,SYT2
In3,AHRR
In3,SCTR
In4,DAAM2
In4,EGFR
In4,GABRB2
In4,NMBR
In4,SV2C
In4,FREM1
In4,TRPC3
In4,KIT
In4,MYH11
In4,ADAMTS2
In4,PDGFRA
In5,GAL3ST1
In5,HHIP
In5,MTUS2
In5,SLC2A13
In5,PDGFD
In5,TOX
In5,MYB
In6,NXPH1
In6,PVALB
In6,RPH3AL
In6,ZNF703
In6,LRRC38
In7,CKMT1B
In7,DPYSL5
In7,HS6ST2
In7,KIAA1324
In7,NRXN3
In7,VWDE
In7,HPGD
In7,DSP
In7,PLD1
In7,COL24A1
In8,CTTNBP2
In8,TNR
In8,NMU
Astro,ALDH1L1
Astro,EYA1
Astro,NWD1
Astro,SLCO1C1
Astro,HGF
Astro,SPARCL1
Astro,SLC25A18
Astro,FGFR3
Astro,SDC4
Astro,GFAP
Astro,ACSBG1
Astro,PRODH
Astro,ITGB4
Astro,SLC7A11
Astro,AGT
Astro,PPP1R3C
Astro,RANBP3L
Astro,RNF43
Astro,GJB6
Astro,SLC14A1
Astro,GJA1
Astro,USP9Y
Astro,TTTY15
Astro,KDM5D
Astro,SLC39A12
Astro,COL16A1
Astro,DLC1
Astro,ABCC9
Astro,MGST1
Astro,GABRG1
Astro,ITGA7
Astro,CLTCL1
Astro,RGS9
Astro,SLC30A10
Astro,BMPR1B
Astro,SLC4A4
Astro,GRM3
Endo,NLGN4Y
Endo,ITGB8
Endo,MYO10
Endo,RAB31
Endo,PDLIM5
Endo,CREB5
Endo,LPAR1
Endo,KCNH8
Endo,JAG1
Endo,KANK2
Endo,PDGFRA
Endo,SPARC
Endo,DCN
Endo,CTH
Endo,GPR37L1
Endo,EDNRB
Endo,B2M
Endo,CYBRD1
Endo,MSX1
Endo,ADAMTS4
Endo,TF
Endo,TMEM144
Endo,ENPP2
Endo,KLK6
Endo,ERMN
Endo,RNASE1
Endo,PLP1
Endo,OPALIN
Endo,CNDP1
Endo,FOLH1
Endo,UGT8
Endo,CNP
Endo,PLEKHB1
Endo,MAL
Endo,GPR37
Endo,NR4A2
Endo,B3GNT7
Endo,GPNMB
Endo,GLYCTK
Endo,GJB1
Endo,PAQR6
Endo,GSN
Endo,ABCA8
Endo,FA2H
Endo,CARNS1
Endo,MOBP
Endo,MBP
Endo,CLDN11
Endo,RRBP1
Endo,OLFML2B
Endo,HPGD
Endo,DSP
Endo,ANKRD13A
Endo,SEMA5A
Endo,CDC14A
Endo,PRRX1
Endo,ZFHX3
Endo,FLT1
Endo,CEBPD
Endo,GNG11
Endo,PEAR1
Endo,FERMT1
Endo,RCSD1
Endo,TGM2
Endo,ITIH5
Endo,APOLD1
Endo,EDN3
Endo,FOXC1
Endo,IFI27
Endo,ESAM
Endo,ANXA1
Endo,MYH11
Endo,ITGA1
Endo,RGS5
Endo,ZNF703
Endo,CCDC88C
Micro,ST8SIA4
Micro,CSF1R
Micro,LAPTM5
Micro,CD14
Micro,RGS10
Micro,PTPRC
Micro,C3
Micro,C3AR1
Micro,ALOX5AP
Micro,HLA-DRA
Micro,BCL2A1
Micro,ITGAX
Micro,DHRS9
Micro,OLR1
Micro,CD53
Micro,LCP1
Micro,CD74
Micro,CD83
Micro,A2M
Micro,CMKLR1
Micro,GALR1
OPC,LRRK2
OPC,IL1RAP
OPC,IFITM10
OPC,PCDH15
OPC,CSF1R
OPC,LAPTM5
OPC,CD14
OPC,RGS10
OPC,PTPRC
OPC,C3
OPC,C3AR1
OPC,ALOX5AP
OPC,HLA-DRA
OPC,BCL2A1
OPC,ITGAX
OPC,DHRS9
OPC,OLR1
OPC,CD53
OPC,LCP1
OPC,CD74
OPC,CD83
OPC,A2M
OPC,CMKLR1
OPC,GALR1
OPC,PAX6
OPC,COL11A1
OPC,CXXC4
OPC,SCG2
OPC,SHC4
OPC,ATP13A4
OPC,SERPINE2
OPC,GFRA1
OPC,MEGF11
OPC,SLITRK1
OPC,GRIA3
OPC,XYLT1
OPC,LUZP2
OPC,LHFPL3
OPC,BLM
OPC,HRASLS
Oligo,MSX1
Oligo,ADAMTS4
Oligo,TF
Oligo,TMEM144
Oligo,ENPP2
Oligo,KLK6
Oligo,ERMN
Oligo,RNASE1
Oligo,PLP1
Oligo,OPALIN
Oligo,CNDP1
Oligo,FOLH1
Oligo,UGT8
Oligo,CNP
Oligo,PLEKHB1
Oligo,MAL
Oligo,GPR37
Oligo,NR4A2
Oligo,B3GNT7
Oligo,GPNMB
Oligo,GLYCTK
Oligo,GJB1
Oligo,PAQR6
Oligo,GSN
Oligo,ABCA8
Oligo,FA2H
Oligo,CARNS1
Oligo,MOBP
Oligo,MBP
Oligo,CLDN11
Oligo,RRBP1
Oligo,OLFML2B
Oligo,KCNMB4
Oligo,LGI3
Oligo,MAG
