,Ex1,Ex2,Ex3,Ex4,Ex5,Ex6,Ex7,Ex8,In1,In2,In3,In4,In5,In6,In7,In8,Astro,Endo,Micro,OPC,Oligo
lh_G&S_frontomargin_thickness,0.10184495725268794,0.4057263612724876,-0.011118353663566708,0.16679490577771747,0.003982554564227089,-0.5547697343329616,0.19673666017561042,0.013067575671292719,0.1687183000869426,0.2970433803575369,-0.14754506584548768,0.003801375096507656,0.021144287451449188,0.03343511003898201,-0.03886174868716662,0.7679432867761536,0.6267108766668752,0.18256454378137696,0.6263768038430004,0.5363919821380041,0.24138410456682477
lh_G&S_occipital_inf_thickness,0.09237107358190688,-0.1129001382505313,1.098670788504631,-0.44228739321916505,-0.5071907600666785,-0.46778237609319884,-0.28021427868837817,-0.21328454025589558,-1.4465271630378653,-0.34244270449289144,-0.20845423348313874,0.23821908312583434,0.3436832943059524,-0.09081796496302923,0.5143270033321784,-0.12698149946796358,-0.8126450965470504,0.07900957905887111,-0.5790324741982209,-0.46514499777271306,0.14589862997192035
lh_G&S_paracentral_thickness,-0.8288569424880472,-0.11218941756232025,-0.22650309983133812,-0.4694819603994069,-0.2827602564800624,0.33026346252464733,-0.17218634510124162,0.07610122858891986,-0.4786284448602728,0.028058613903326084,-0.09958551779130208,0.3426949623977711,-0.38264182725773005,0.5766352071186718,-0.24188134984927748,-0.8455092675149172,-0.020050825075449957,0.11025977562159707,-0.17465133885711967,-0.1104995750605908,0.41332448869296934
lh_G&S_subcentral_thickness,-0.10833748095998358,-0.040468209534466504,0.42359076023797954,0.048265087286062956,0.15467773870920828,0.056783550659152866,-0.20046858247241306,0.003412822037214162,-0.3845975237179915,0.03528604446280228,-0.37980966534432653,0.01041103541697958,-0.034279135599472765,0.6275059117525345,0.08516591271365014,0.1647454579726854,-0.38855004578770663,-0.19366365979807215,0.46398568227595005,0.1783506504263162,-0.2292195321477304
lh_G&S_transv_frontopol_thickness,0.036343306746785486,0.774440286913417,0.10902622887987327,-0.21170199661832953,-0.5436228729854544,-0.46040877593271134,0.016035601881712675,-0.12986317280066567,0.41768059484132825,0.014186612019257907,-0.06783088150336591,0.10647450441363536,0.02773133860901641,0.009509997097095435,0.08911807422606796,0.3295960999034835,0.39044059470247466,0.09169381825716433,-0.09650627046426247,-0.058059901695552196,0.20870756118157174
lh_G&S_cingul-Ant_thickness,-0.19162042460341366,0.2991724849279537,-0.9225360561977151,0.4855157579557511,0.6516569241808048,0.8991538576487224,0.48944611747581296,0.19176664677809044,1.1687563955751399,0.714012018874909,0.3635812819817439,-0.47515126997516527,-0.37475269908375575,0.35798234808674034,-0.3971162198574533,0.030362087340200256,1.0407172390866286,-0.14754955815472326,0.3451007297055587,0.41024739470655797,-0.526847708859864
lh_G&S_cingul-Mid-Ant_thickness,0.25239834967522545,0.4776571717601433,-0.5673927375695257,0.5003826039333567,0.6258012500663245,0.8524378751696445,0.6106205221019545,0.3994223952379862,1.9732640769496133,0.4372842216813782,0.5848993314340739,0.2082839725307083,-0.27230630700298547,0.3769207631657999,-0.012710690778927808,0.1671734435549261,1.0043886299956828,0.23717947643336182,-0.09745954020245584,0.31864624057605384,0.09091647170648474
lh_G&S_cingul-Mid-Post_thickness,-0.07907905287329152,0.19804873326175065,-0.41660475475875236,0.1750046046002784,0.5462374804044566,0.7348105040206266,0.49746323030488376,0.22491908116668657,1.4092296471445365,0.2519402212444998,0.29726197693635353,0.18634862095601445,-0.20244993531181968,0.455403213782528,0.034219263479237004,-0.5503772066595144,0.3023382046248001,0.03406743015919381,-0.1530207456379728,0.04365866793117571,-0.1591657790328595
lh_G_cingul-Post-dorsal_thickness,0.12643798413024304,0.08805661986244138,0.6872607913528429,0.5985530492642877,0.5071021546024598,0.16136286926232696,0.17015590611092243,-0.3379416584491195,0.13431363972629487,0.6221526398146187,0.5507818966415643,-0.29532973392761597,-0.43839588406667573,0.37301436722588477,-0.16120513324070926,-0.37266953387601465,-0.2501793410873401,-1.0282055719352607,-0.44917235400526534,-0.292440473544348,-1.6908950288736226
lh_G_cingul-Post-ventral_thickness,-0.9995124660268251,0.27185155201497113,-0.9470576937817816,0.07262117527466676,-0.17316592288858987,1.1770225664730416,0.12982962243067786,0.08169295830656391,1.1483208989570777,0.18141244747173668,0.645034903117419,0.48174261054829015,0.07093133139621566,-0.7309587772248642,0.2665826773781794,-0.5020234033585284,0.2562781006545274,1.0117641558691386,0.514796945885154,0.29131382341859763,1.8226458975398623
