,Axon,Spine,Dendrite,Myelin
lh_G&S_frontomargin_thickness,0.008615586062173613,0.27075372515677926,0.10318880419231159,0.059510182043715686
lh_G&S_occipital_inf_thickness,0.05168872844186923,-0.08969506069661451,-0.03246831747158357,-0.0554342525978637
lh_G&S_paracentral_thickness,0.30686956701356805,-0.4984019048643503,-0.251868251830838,0.27403129204951915
lh_G&S_subcentral_thickness,0.15644804002132923,-0.11033860993395748,0.008450632017563811,0.12569575900155674
lh_G&S_transv_frontopol_thickness,-0.165984936830848,-0.18073246481336291,-0.22592760317141822,-0.09566792369469261
lh_G&S_cingul-Ant_thickness,-0.19096189398607558,0.30730826052222304,0.16587345687559601,0.05455309309001879
lh_G&S_cingul-Mid-Ant_thickness,0.14444914634634284,0.42429511791898455,0.294951402129572,0.21101299733974344
lh_G&S_cingul-Mid-Post_thickness,0.2294052607582209,-0.02036323336246089,0.0810667096952083,0.14678341339161335
lh_G_cingul-Post-dorsal_thickness,0.4888761599298463,0.27212262128747033,0.3270172229468001,0.21840347294248696
lh_G_cingul-Post-ventral_thickness,-0.6521289867361508,-0.0981195692846641,-0.18327583617863744,-0.24355274932118343
lh_G_cuneus_thickness,0.10864901880677569,-0.3609730104016608,-0.2462389922194057,-0.15832543139647695
lh_G_front_inf-Opercular_thickness,0.23396009180306301,0.11852242665867595,0.15679745994431282,0.16041555661781906
lh_G_front_inf-Orbital_thickness,0.0801016184159057,-0.12697731301123782,-0.1130557415526029,0.03172422392521707
lh_G_front_inf-Triangul_thickness,0.2885930657121671,0.04142279495744588,0.030066953753947703,0.16435082386819627
lh_G_front_middle_thickness,0.18702183906053577,0.1054632681045834,0.07814376280537229,0.15086150866036865
lh_G_front_sup_thickness,0.2721383983064359,0.17257272252949507,0.12730279644098763,0.17051135565632872
lh_G_Ins_lg&S_cent_ins_thickness,-0.16836001691161243,0.198710193320276,0.14443195691066732,-0.13235189232786543
lh_G_insular_short_thickness,0.021838437567781723,0.13247261960352943,0.21015114391167045,0.06677712813083626
lh_G_occipital_middle_thickness,0.24581126935939096,0.005094929190550671,0.0323532870830113,0.0979190676116462
lh_G_occipital_sup_thickness,0.2956828976995827,-0.285372960356469,-0.13780312896724642,-0.07882107167363546
lh_G_oc-temp_lat-fusifor_thickness,-0.13790930794323203,-0.05121737274652123,-0.03573484419833578,-0.14511400538973815
lh_G_oc-temp_med-Lingual_thickness,-0.1192803573644888,-0.3256358376456662,-0.25070948297521045,-0.3416050449332732
lh_G_oc-temp_med-Parahip_thickness,-0.3332029566359885,0.2978584860608379,-0.016947680422451677,-0.25167652862464174
lh_G_orbital_thickness,0.0488505804674874,0.21881057182302438,0.15197952520918467,-0.020300581115326777
lh_G_pariet_inf-Angular_thickness,0.3098262614632255,0.034929555485148166,0.09037998269661224,0.02720230044256593
lh_G_pariet_inf-Supramar_thickness,0.1339520292948712,0.010130894935779722,0.057677324471657514,0.1654122624020917
lh_G_parietal_sup_thickness,0.2396349474972495,-0.09160054080512678,-0.005328847295530621,0.11247801668691189
lh_G_postcentral_thickness,0.3305857173278402,-0.3610181207717345,-0.14929977201032507,0.24787461557200263
lh_G_precentral_thickness,0.3623789239349007,-0.4101794078688074,-0.19239058873195122,0.34141775205146585
lh_G_precuneus_thickness,0.15743621566332652,-0.030688780729719412,-0.0006914776814173933,-0.08463618494796692
lh_G_rectus_thickness,0.0695094482963783,0.4128473568618219,0.2785032004055069,0.014088506938285722
lh_G_subcallosal_thickness,-0.8402945747201234,-0.10116312881073869,-0.3109012452595951,-0.4833364436450926
lh_G_temp_sup-G_T_transv_thickness,-0.022962892586645748,-0.19262225134538738,-0.03712778182463221,0.050595750590881276
lh_G_temp_sup-Lateral_thickness,0.1723711682687567,0.20006343993843306,0.203828592266283,-0.03532959709332143
lh_G_temp_sup-Plan_polar_thickness,-0.3277910190213426,0.36690249805139385,0.18830124449814065,-0.18140227817777063
lh_G_temp_sup-Plan_tempo_thickness,-0.1365002327260594,-0.20189250412379434,-0.1469253766839242,-0.13738492507851477
lh_G_temporal_inf_thickness,-0.056174540503088545,0.28338379677118797,0.1723838815570472,-0.06695392763746322
lh_G_temporal_middle_thickness,-0.026298097985306614,0.14590039640060173,0.09383732260379282,-0.07193736806968919
lh_Lat_Fis-ant-Horizont_thickness,0.3579434231490292,0.2111419558767862,0.28558865710777165,0.34114837149094585
lh_Lat_Fis-ant-Vertical_thickness,,,,
lh_Lat_Fis-post_thickness,0.1776774770754291,-0.10038487904300902,0.03317594174438556,0.19837725778153978
lh_Pole_occipital_thickness,-0.047555913841066236,-0.3066317250906149,-0.23029424480094446,-0.16290224002933226
lh_Pole_temporal_thickness,-0.13243794719832674,0.4933413199039324,0.23644965243573116,-0.037482213917788686
