,ni1-SV2A-M1-mGluR5-5HT6-CB1-GABAa-HDAC,ni2-5HT2a-5HT4-5HT1a-5HTT,ni3-FDOPA-DAT-D1-NMDA,ni4-GI-5HT1b-MU-A4B2,ni5-VAChT-NET,ni6-CBF-CMRglu,ni7-COX1,ni8-H3,ni9-D2,ni10-TSPO,ce1-Ex7-In4-Ex5-Ex4-In1,ce2-Oligo-Endo,ce3-Micro-OPC,ce4-In3-In2-Astro,ce5-In6-Ex2,ce6-Ex8-Ex6,ce7-In7-Ex3,ce8-In5,ce9-In8,ce10-Ex1,mr1-myelin
lh_G&S_frontomargin_thickness,-0.0049020996763507,0.4993465462603924,-0.7261299403573517,1.867720990081269,-0.4989242637418843,-0.4259342836516746,-0.1303630351360726,0.8364672430161242,0.2491357283005112,1.1818882286186176,0.0683344995202568,0.5495631061355553,0.6912536310044198,0.3340045709667424,0.6450387837199915,0.084692136557433,-1.004462611117173,-0.1325172171825756,2.2486264635681086,0.7022597997421115,-0.8541529
lh_G&S_occipital_inf_thickness,0.0296793899566464,-1.1866345915177683,-0.8670465274978713,-0.5108852596394519,-0.5558020391963264,-0.6462953173552549,1.2778166719698925,-0.2835496123532088,-0.3568164345332149,0.6828876721703278,-1.092954729734151,0.1810939991755076,-0.8642476347366709,-1.042998366486785,0.0902220870178671,-1.050575775077764,1.7196075295731446,0.64823740207287,0.4408330751186398,0.2935897191813642,0.6715124
lh_G&S_paracentral_thickness,-0.7455660104418649,-1.3379717502523647,-1.825690014795016,-0.8111331478366514,1.525140784498201,0.7624633440430578,-0.550811875951233,-0.608181558962553,-0.8240534926668542,-0.4480355247629001,-0.4748273158740718,0.3448799978312563,0.0990774904043043,-0.1914191373300195,0.465582272880034,-0.0895029630282609,-0.3387947143745339,-1.2867373057166762,-1.4407239649822816,-1.726995665125581,1.2882515
lh_G&S_subcentral_thickness,0.919565936130229,0.6956228063206845,-0.0714139325802526,0.1747165140407726,1.4529056758145522,-0.0914464260959832,-0.4757982087359774,-0.0778995751246253,-0.3548272513364248,0.3875834909769712,-0.2287284458008471,-0.5436439199578023,0.4308802218041117,-0.8181379079295732,0.8322332103704587,-0.0236093002210676,0.5575912498277806,0.2028439776066128,0.1033454778642897,-0.3128309681025037,-0.015516044
lh_G&S_transv_frontopol_thickness,-0.0866765960136827,0.536042622348366,-1.6331990980090478,1.2518559039008506,-1.436969999225373,-0.906656726940324,-0.5947222874698013,1.7192047279562062,0.5144113496139671,0.5883514699825081,-0.368581713867038,0.5715933997008013,-0.5398022618841353,0.1825309227406347,0.6517677207903038,-0.2373722080850608,-0.8793891519415614,-0.1184498437436148,1.632522637454279,0.6401789200295259,-0.76399153
lh_G&S_cingul-Ant_thickness,0.8802097053510498,0.0775937090722899,1.371018145312872,0.6913672141030613,0.4802940887290271,-0.1291663484669613,-0.8052812972941041,1.0100765640115204,0.3940483065998235,0.8487856045313784,1.4417261824161938,-0.3400948362235232,0.6454736674531598,1.6559742588470974,0.1154279832007683,1.448061748698687,-1.877766439641191,-1.0393894373420491,-0.6738123681262673,-0.4184374139860869,-1.1766316
lh_G&S_cingul-Mid-Ant_thickness,0.5582629007752488,-0.1930420447363954,1.0016307637977595,0.5439372945515147,1.4738134299302463,-0.0786336039393165,-0.8712733132559263,1.1921271771422133,0.8147688857652999,0.4855649456101112,1.2158397564143637,0.4538512041336057,0.0729815791493431,2.2880380618065823,0.8237794446308386,1.9527162468971253,-0.7913210474905507,-0.7527585631350127,0.0058784085971083,0.6833516947519559,-0.8368468
lh_G&S_cingul-Mid-Post_thickness,0.2461827740569513,-0.9574110507992012,0.5409096413412734,0.1514672691703296,1.7426374650866323,-0.1451335316424124,-0.6945222213603168,0.9761019343382294,0.8168162658935305,0.6369268618830971,1.011721105662898,0.0100538316276052,-0.0045083128662732,1.1855416081490264,0.668657991384757,1.101401337806982,-0.2177668706124887,-0.7056076651608044,-1.1225726289512492,-0.4047260105573871,-0.14177543
lh_G_cingul-Post-dorsal_thickness,-0.1164347450033288,-0.5441010973154545,0.7652156466523651,0.1612039120850522,0.0297586068717788,1.6746012996527302,-0.5614304248387875,-0.7313122426965412,1.5954115791206285,1.669966729475007,0.5435320414164411,-2.279286830376204,-0.6590330368315808,1.3481422706708563,0.8060094430827749,-0.2960082385341579,0.551632757377648,-0.2637318005369828,-0.3787284063453053,0.0100934190415842,1.1522021
lh_G_cingul-Post-ventral_thickness,-4.514823334995183,-1.2634999822565232,-1.6578651541749907,-3.897029380842788,-4.00432836026566,0.159499772831963,-1.6676055391401243,-0.3774379903646393,0.415790562245394,0.5705864160579998,0.1860075919710363,2.157536680249549,0.8892275947722755,1.711665400862183,-0.8394652084109546,1.1762525042048089,0.2020258272482056,-0.168952107504801,-0.7063709220519647,-2.192642435335456,2.5402234
lh_G_cuneus_thickness,0.7625154056728758,-0.145290542785458,-0.3918802277123003,-0.2631745888404892,-0.042323478211363,1.3485960969108293,3.637338263210901,-0.3199976005760066,1.4628693158567674,-1.154710562722856,-1.753753862252595,-0.5156040120675266,-1.6171606894359751,-1.393737192229124,-0.0980525819188663,-1.1865218074767718,1.2008913471076963,-0.2028500150478545,0.8095533125902254,-1.6894432842633382,1.5261229
lh_G_front_inf-Opercular_thickness,0.9961467717162102,0.8386776316929321,0.5602232795131201,1.061279834617193,0.8145718689147617,0.7415014935192762,-0.5693785516610748,0.1024515004733451,0.3622746657363803,0.3413565725730481,0.598276087292124,-0.7436141829846322,0.3974002504284092,-0.6635322499459816,0.1445206668919799,0.7252483557238503,0.4201233738642407,0.4189565431594013,-0.4807666136814159,-0.4804976126017902,-0.49396858
lh_G_front_inf-Orbital_thickness,0.5196823250237291,0.9790745858266798,0.2907561551170977,1.1242693430601045,0.192048252031413,0.0788576605053233,-0.1536447146481941,0.016972540929665,0.4081692524297377,1.902844522383995,0.4519690827970534,-1.2151280335922556,1.001034068122619,-0.5365628847958724,1.1218716925290548,-0.4997059942588563,-0.1231216689642423,-0.0206836515642596,0.2299407646891254,-1.333034481057022,-0.6610956
