,ni1-5HT1a,ni2-5HT1b,ni3-5HT2a,ni4-5HT4,ni5-5HT6,ni6-5HTT,ni7-A4B2,ni8-CB1,ni9-CBF,ni10-CMRglu,ni11-COX1,ni12-D1,ni13-D2,ni14-DAT,ni15-FDOPA,ni16-GABAa,ni17-GI,ni18-H3,ni19-HDAC,ni20-M1,ni21-mGluR5,ni22-MU,ni23-NET,ni24-NMDA,ni25-SV2A,ni26-TSPO,ni27-VAChT,ce1-Ex1,ce2-Ex2,ce3-Ex3,ce4-Ex4,ce5-Ex5,ce6-Ex6,ce7-Ex7,ce8-Ex8,ce9-In1,ce10-In2,ce11-In3,ce12-In4,ce13-In5,ce14-In6,ce15-In7,ce16-In8,ce17-Astro,ce18-Endo,ce19-Micro,ce20-OPC,ce21-Oligo,mr1-myelin
lh_G&S_frontomargin_thickness,0.1993808597326278,1.1003286838531494,0.4725300669670105,0.3855207860469818,0.4251138865947723,-0.3073712587356567,0.2451980113983154,1.1004902124404907,-0.0733654722571373,0.5247600078582764,-0.1439291685819625,0.8784708380699158,0.0476802289485931,-1.036718249320984,-1.511409044265747,-0.7953625917434692,1.2528507709503174,-0.0398383736610412,1.5108675956726074,-0.0280942320823669,-0.6974419951438904,1.056249976158142,0.0991676747798919,-0.779233992099762,-0.6258978843688965,0.7162485122680664,-0.2181588411331176,0.10184495725268794,0.4057263612724876,-0.011118353663566708,0.16679490577771747,0.003982554564227089,-0.5547697343329616,0.19673666017561042,0.013067575671292719,0.1687183000869426,0.2970433803575369,-0.14754506584548768,0.003801375096507656,0.021144287451449188,0.03343511003898201,-0.03886174868716662,0.7679432867761536,0.6267108766668752,0.18256454378137696,0.6263768038430004,0.5363919821380041,0.24138410456682477,-0.8541529
lh_G&S_occipital_inf_thickness,-1.0560307502746582,-0.0321954786777496,-0.9528532028198242,-1.108035683631897,0.2484795153141021,-0.8755784630775452,-0.0229614786803722,-0.3128369450569153,-0.510857343673706,-0.0362161844968795,1.0021387338638306,-0.8568148612976074,-0.3911989033222198,-0.5237916707992554,-0.2289286404848098,-0.6386492252349854,-0.1538840383291244,-0.9190982580184937,0.5488635301589966,0.2345729321241378,-1.030553936958313,-1.4536445140838623,0.2276398539543151,-0.8778873085975647,0.2115690410137176,-0.0540667064487934,-1.058380961418152,0.09237107358190688,-0.1129001382505313,1.098670788504631,-0.44228739321916505,-0.5071907600666785,-0.46778237609319884,-0.28021427868837817,-0.21328454025589558,-1.4465271630378653,-0.34244270449289144,-0.20845423348313874,0.23821908312583434,0.3436832943059524,-0.09081796496302923,0.5143270033321784,-0.12698149946796358,-0.8126450965470504,0.07900957905887111,-0.5790324741982209,-0.46514499777271306,0.14589862997192035,0.6715124
lh_G&S_paracentral_thickness,-0.7103941440582275,-0.9243829250335692,-0.9666430950164796,-1.0098931789398191,-1.3408712148666382,-0.2175891250371933,-1.2494043111801147,-0.6545414328575134,0.2154574692249298,0.226491779088974,-1.1648054122924805,-2.0128345489501958,-1.3251277208328247,-1.642290472984314,-1.279508113861084,-1.0161863565444946,0.6071167588233948,-0.0326129719614982,-0.7496185302734375,-0.5593144297599792,-0.9081185460090636,-0.8745051622390747,2.0579464435577397,-0.4884708523750305,-0.3040662705898285,-1.289703369140625,0.6123319268226624,-0.8288569424880472,-0.11218941756232025,-0.22650309983133812,-0.4694819603994069,-0.2827602564800624,0.33026346252464733,-0.17218634510124162,0.07610122858891986,-0.4786284448602728,0.028058613903326084,-0.09958551779130208,0.3426949623977711,-0.38264182725773005,0.5766352071186718,-0.24188134984927748,-0.8455092675149172,-0.020050825075449957,0.11025977562159707,-0.17465133885711967,-0.1104995750605908,0.41332448869296934,1.2882515
lh_G&S_subcentral_thickness,0.5733582377433777,0.6801704168319702,0.6538625359535217,0.8153458833694458,0.5361177921295166,0.3157743513584137,0.1206658706068992,0.9883517026901244,-0.0744377523660659,-0.425226092338562,-0.551299512386322,-0.7566439509391785,0.0606329292058944,-0.3239274322986603,-0.1672102808952331,0.6690441966056824,-0.5816923379898071,0.3360207378864288,-0.0203833580017089,0.5872777700424194,1.4901008605957031,0.3018788695335388,1.5088156461715698,0.5094607472419739,0.4968202114105224,0.3050189614295959,1.0211329460144043,-0.10833748095998358,-0.040468209534466504,0.42359076023797954,0.048265087286062956,0.15467773870920828,0.056783550659152866,-0.20046858247241306,0.003412822037214162,-0.3845975237179915,0.03528604446280228,-0.37980966534432653,0.01041103541697958,-0.034279135599472765,0.6275059117525345,0.08516591271365014,0.1647454579726854,-0.38855004578770663,-0.19366365979807215,0.46398568227595005,0.1783506504263162,-0.2292195321477304,-0.015516044
lh_G&S_transv_frontopol_thickness,0.588811993598938,0.499908983707428,1.1227867603302002,0.8432712554931641,-0.2300539463758468,0.0129896011203527,0.1548076570034027,1.1534351110458374,-0.5023502707481384,0.1959407180547714,-1.1575318574905396,-0.21807961165905,-0.3419496119022369,-1.5754342079162598,-3.0421457290649414,-0.4933018386363983,1.431297779083252,0.3303828835487366,1.2998878955841064,0.4744639992713928,-0.5497395396232605,0.6200078129768372,-0.8697912096977234,-2.3254010677337646,-0.110416755080223,-0.2955990135669708,-0.5310242772102356,0.036343306746785486,0.774440286913417,0.10902622887987327,-0.21170199661832953,-0.5436228729854544,-0.46040877593271134,0.016035601881712675,-0.12986317280066567,0.41768059484132825,0.014186612019257907,-0.06783088150336591,0.10647450441363536,0.02773133860901641,0.009509997097095435,0.08911807422606796,0.3295960999034835,0.39044059470247466,0.09169381825716433,-0.09650627046426247,-0.058059901695552196,0.20870756118157174,-0.76399153
lh_G&S_cingul-Ant_thickness,0.0125069022178649,0.8202167749404907,-0.1337691694498062,-0.1522983610630035,0.8043856024742126,-0.1783449947834015,0.3343783617019653,1.345919847488403,0.5666345357894897,-0.132346972823143,-0.1466700434684753,1.326518177986145,0.2584175169467926,0.3392038345336914,1.7677195072174072,0.7248218655586243,0.5798748731613159,2.3168423175811768,0.0133990813046693,0.5078904628753662,1.4651418924331665,1.683022379875183,-0.0676771849393844,0.1479949653148651,1.0272924900054932,1.20406973361969,0.6495508551597595,-0.19162042460341366,0.2991724849279537,-0.9225360561977151,0.4855157579557511,0.6516569241808048,0.8991538576487224,0.48944611747581296,0.19176664677809044,1.1687563955751399,0.714012018874909,0.3635812819817439,-0.47515126997516527,-0.37475269908375575,0.35798234808674034,-0.3971162198574533,0.030362087340200256,1.0407172390866286,-0.14754955815472326,0.3451007297055587,0.41024739470655797,-0.526847708859864,-1.1766316
lh_G&S_cingul-Mid-Ant_thickness,-0.3395928144454956,0.6173698306083679,-0.3411609530448913,-0.4602035582065582,0.0194145552814006,-0.2050782889127731,1.079163670539856,0.9582183361053468,0.590981662273407,-0.2093173414468765,-0.3498657643795013,0.6918478608131409,-0.1350076347589492,0.371953934431076,1.3123430013656616,0.7489864826202393,0.083302803337574,1.8986021280288696,0.232046827673912,0.0955257043242454,1.144340991973877,1.4649813175201416,0.650418758392334,0.2444407492876052,0.7835118770599365,0.897975504398346,2.439500570297241,0.25239834967522545,0.4776571717601433,-0.5673927375695257,0.5003826039333567,0.6258012500663245,0.8524378751696445,0.6106205221019545,0.3994223952379862,1.9732640769496133,0.4372842216813782,0.5848993314340739,0.2082839725307083,-0.27230630700298547,0.3769207631657999,-0.012710690778927808,0.1671734435549261,1.0043886299956828,0.23717947643336182,-0.09745954020245584,0.31864624057605384,0.09091647170648474,-0.8368468
lh_G&S_cingul-Mid-Post_thickness,-0.837468147277832,-0.1136762127280235,-1.246661901473999,-1.179776906967163,-0.5274268984794617,-0.4681355953216553,0.7334039807319641,0.5030754208564758,0.22945536673069,-0.4109337031841278,-0.1836627572774887,0.5382049679756165,-0.7199819684028625,0.4689147770404815,0.7621670961380005,0.9805052280426024,-0.21931754052639,1.1788108348846436,-0.07998026907444,-0.0574454665184021,0.9334858059883118,0.7864524722099304,0.9959614276885986,-0.6314520239830017,0.4604793787002563,0.6324620842933655,3.0226805210113525,-0.07907905287329152,0.19804873326175065,-0.41660475475875236,0.1750046046002784,0.5462374804044566,0.7348105040206266,0.49746323030488376,0.22491908116668657,1.4092296471445365,0.2519402212444998,0.29726197693635353,0.18634862095601445,-0.20244993531181968,0.455403213782528,0.034219263479237004,-0.5503772066595144,0.3023382046248001,0.03406743015919381,-0.1530207456379728,0.04365866793117571,-0.1591657790328595,-0.14177543
lh_G_cingul-Post-dorsal_thickness,-0.9187332391738892,-0.5563048720359802,-0.6092439889907837,-0.6974563002586365,-0.2038628458976745,-0.4924956560134887,-0.6756345629692078,-0.5548626184463501,1.3720715045928955,1.5248255729675293,-0.3016098141670227,1.451528787612915,-0.9496829509735109,0.3249605596065521,0.6593877673149109,1.641821026802063,1.8765099048614504,-0.2348888665437698,0.0955270826816558,-0.1600908190011978,0.8845114707946777,-0.0140516515821218,-0.7079455256462097,0.8319894671440125,0.0002695453586056,1.7603003978729248,0.7261427640914917,0.12643798413024304,0.08805661986244138,0.6872607913528429,0.5985530492642877,0.5071021546024598,0.16136286926232696,0.17015590611092243,-0.3379416584491195,0.13431363972629487,0.6221526398146187,0.5507818966415643,-0.29532973392761597,-0.43839588406667573,0.37301436722588477,-0.16120513324070926,-0.37266953387601465,-0.2501793410873401,-1.0282055719352607,-0.44917235400526534,-0.292440473544348,-1.6908950288736226,1.1522021
lh_G_cingul-Post-ventral_thickness,-0.478697270154953,-3.698086738586426,-1.05332350730896,-0.5538241267204285,-5.1953606605529785,-0.2088700383901596,-5.288929462432861,-3.3184194564819336,0.3168869316577911,-0.3239835500717163,-1.6785848140716553,-1.816322326660156,-2.2047390937805176,-0.696739912033081,-0.6744940280914307,-2.601234197616577,-0.338881641626358,-1.9016271829605105,-2.9682822227478027,-3.696187019348145,-3.2837352752685547,-1.812350034713745,-4.159909248352051,-2.382784605026245,-3.2637760639190674,-1.167269229888916,-2.555774211883545,-0.9995124660268251,0.27185155201497113,-0.9470576937817816,0.07262117527466676,-0.17316592288858987,1.1770225664730416,0.12982962243067786,0.08169295830656391,1.1483208989570777,0.18141244747173668,0.645034903117419,0.48174261054829015,0.07093133139621566,-0.7309587772248642,0.2665826773781794,-0.5020234033585284,0.2562781006545274,1.0117641558691386,0.514796945885154,0.29131382341859763,1.8226458975398623,2.5402234
