category,gene_set,symbol,entrez,ensembl
ce,Ex1,HPCAL1,3241,ENSG00000115756
ce,Ex1,LAMP5,24141,ENSG00000125869
ce,Ex1,SERPINE2,5270,ENSG00000135919
ce,Ex1,CDH9,1007,ENSG00000113100
ce,Ex1,GNAL,2774,ENSG00000141404
ce,Ex1,CCDC88C,440193,ENSG00000015133
ce,Ex1,PCDH8,5100,ENSG00000136099
ce,Ex1,PDGFD,80310,ENSG00000170962
ce,Ex1,GREB1L,80000,ENSG00000141449
ce,Ex1,MDGA1,266727,ENSG00000112139
ce,Ex1,JAG1,182,ENSG00000101384
ce,Ex1,GPR83,10888,ENSG00000123901
ce,Ex1,NECAB2,54550,ENSG00000103154
ce,Ex1,MN1,4330,ENSG00000169184
ce,Ex1,CAMK2A,815,ENSG00000070808
ce,Ex1,DNM1,1759,ENSG00000106976
ce,Ex1,KCNK1,3775,ENSG00000135750
ce,Ex1,KCNV1,27012,ENSG00000164794
ce,Ex2,GLIS3,169792,ENSG00000107249
ce,Ex2,PTPRK,5796,
ce,Ex2,COL5A2,1290,ENSG00000204262
ce,Ex2,ADCY8,114,ENSG00000155897
ce,Ex2,TRHDE,29953,ENSG00000072657
ce,Ex2,CLMN,79789,ENSG00000165959
ce,Ex2,LAMA2,3908,ENSG00000196569
ce,Ex2,PAH,5053,ENSG00000171759
ce,Ex2,OVOL2,58495,ENSG00000125850
ce,Ex2,BEND4,389206,ENSG00000188848
ce,Ex2,SYT10,341359,ENSG00000110975
ce,Ex3,CHN1,1123,ENSG00000128656
ce,Ex3,HR,55806,ENSG00000168453
ce,Ex3,HTR2A,3356,ENSG00000102468
ce,Ex3,PRDM8,56978,ENSG00000152784
ce,Ex3,TRIM66,9866,ENSG00000166436
ce,Ex3,NTNG1,22854,ENSG00000162631
ce,Ex3,VAV3,10451,ENSG00000134215
ce,Ex3,TRPC3,7222,ENSG00000138741
ce,Ex3,VIPR2,7434,ENSG00000106018
ce,Ex4,ANO3,63982,ENSG00000134343
ce,Ex4,LMO4,8543,ENSG00000143013
ce,Ex4,SCN2A,6326,ENSG00000136531
ce,Ex4,SLC17A7,57030,ENSG00000104888
ce,Ex4,TSHZ2,128553,ENSG00000182463
ce,Ex4,GABRG1,2565,ENSG00000163285
ce,Ex4,PLCXD3,345557,ENSG00000182836
ce,Ex4,COL6A1,1291,ENSG00000142156
ce,Ex4,ANXA1,301,ENSG00000135046
ce,Ex4,TNNT2,7139,ENSG00000118194
ce,Ex4,NEUROD6,63974,ENSG00000164600
ce,Ex4,CXXC4,80319,ENSG00000168772
ce,Ex4,PLCXD2,257068,ENSG00000240891
ce,Ex4,LYPD6B,130576,ENSG00000150556
ce,Ex4,PCDH20,64881,ENSG00000280165
ce,Ex4,HS3ST3B1,9953,ENSG00000125430
ce,Ex4,PAPSS2,9060,ENSG00000198682
ce,Ex5,CELF4,56853,ENSG00000101489
ce,Ex5,CPNE4,131034,ENSG00000196353
ce,Ex5,KHDRBS3,10656,ENSG00000131773
ce,Ex5,NEUROD2,4761,ENSG00000171532
ce,Ex5,SORCS2,57537,ENSG00000184985
ce,Ex5,SV2B,9899,ENSG00000185518
ce,Ex5,TLL1,7092,ENSG00000038295
ce,Ex5,IL1RAPL2,26280,ENSG00000189108
ce,Ex5,ARSJ,79642,ENSG00000180801
ce,Ex5,IFITM10,402778,
ce,Ex5,ACOT11,26027,ENSG00000162390
ce,Ex5,RNF182,221687,ENSG00000180537
ce,Ex5,ABCC9,10060,ENSG00000069431
ce,Ex5,RCSD1,92241,ENSG00000198771
ce,Ex5,ADTRP,84830,ENSG00000111863
ce,Ex5,CELF4,56853,ENSG00000101489
ce,Ex5,CPNE4,131034,ENSG00000196353
ce,Ex5,KHDRBS3,10656,ENSG00000131773
ce,Ex5,NEUROD2,4761,ENSG00000171532
ce,Ex5,SORCS2,57537,ENSG00000184985
ce,Ex5,SV2B,9899,ENSG00000185518
ce,Ex6,SEMA3E,9723,ENSG00000170381
ce,Ex6,HS3ST4,9951,ENSG00000182601
ce,Ex6,DLC1,10395,
ce,Ex6,KIAA1217,56243,ENSG00000120549
ce,Ex6,GRIK3,2899,ENSG00000163873
ce,Ex6,TLE4,7091,ENSG00000106829
ce,Ex6,MCC,4163,ENSG00000171444
ce,Ex6,BCL11B,64919,ENSG00000127152
