,ni1-SV2A-M1-mGluR5-5HT6-CB1-GABAa-HDAC,ni2-5HT2a-5HT4-5HT1a-5HTT,ni3-FDOPA-DAT-D1-NMDA,ni4-GI-5HT1b-MU-A4B2,ni5-VAChT-NET,ni6-CBF-CMRglu,ni7-COX1,ni8-H3,ni9-D2,ni10-TSPO
5HT1a,-0.0073191076697944404,0.8178242234474475,-0.03579939111335265,-0.07507597391719513,-0.06253132771450834,0.004398980967994452,-0.1431851208660537,0.08662334959130424,-0.27146678367627286,0.03052079102405913
5HT1b,0.2421995785720867,-0.014327694562992925,-0.11216306842974015,0.6494786456527526,0.059259867907073396,0.0649866345349707,0.2757142324707108,0.15888648272662514,0.025374209174183034,0.019382674094171073
5HT2a,-0.062364152144002455,1.1316066173742811,-0.213295330023745,0.06345038772620853,0.02960955541269929,-0.07389179796868932,-0.016906872091745666,-0.18359096310368891,0.25264623523656493,0.032652519957126626
5HT4,0.032413842080821084,1.0893661037325155,-0.17279410467707534,-0.0741483261103958,-0.035567516242017434,-0.0653120488859198,-0.15238463817381837,-0.1374816417997813,0.041763362603264395,0.017561485416184453
5HT6,0.630827830195178,0.034003891592326765,0.2213942691508597,0.46106446216136704,-0.06759304094604117,-0.06644701602497005,0.19795978696268152,-0.297237056458587,-0.2560151347287021,-0.007979120707233552
5HTT,-0.2092371808342965,0.6878467465779559,0.07523042180306655,-0.35134705911668057,0.16451136386905807,0.1376669039904213,0.16555974047893854,0.3072065397007302,-0.21068775378822927,0.03190998107905137
A4B2,0.2477350483747217,-0.15048219994025314,-0.08130500952766415,0.5315066480640707,0.35476633106378813,-0.10597935649231542,-0.029032898931503976,0.0170366027899791,0.049630318851866154,-0.013259949178053674
CB1,0.6205416298600336,0.028128190140401927,-0.02999045482445734,0.26519389183926595,-0.04933089085875902,-0.0750088810095062,-0.2867058144407036,0.300909250483436,-0.24859793454053714,0.10496925762884556
CBF,0.025747363136089354,-0.07273239983661552,0.07381272675886993,0.07824672201665554,-0.03316277441464793,0.9398461942059223,-0.006089441212617322,0.2718965737076723,0.07487551398706,0.008779793064914958
CMRglu,0.0036827768983010776,-0.0621596055252051,-0.13943183481222743,0.43076329075387293,-0.17113529164991126,0.7439630207922525,0.015481447069586996,-0.03865619748294758,0.09512133926563138,0.00726217759447286
COX1,0.005032132827517259,-0.14614876262755022,0.31277690457480045,-0.0013846405325359345,-0.10938611861050032,-0.0016390896624100335,0.9372444695461873,-0.1004866677313343,0.07731443566979612,0.029280592004934363
D1,0.17226407124764662,0.05460977470896829,0.7044740080336519,0.037268436931157604,-0.15767676804301825,0.02354683117278446,-0.053318719611077744,0.17223458988080706,0.32529078210357204,0.09302997284841377
D2,0.4301312276799246,0.20771897943485543,0.3808445714366685,-0.03081008444437774,-0.14735423181499369,-0.1695440345203565,-0.023051242900195612,0.04331836075810506,-0.4343405526015817,-0.0550376465099074
DAT,-0.25162903762884736,-0.08803570865719056,0.9830729917295924,-0.12394321754712168,0.07184943368267309,-0.06588661353600672,0.18974947683974044,0.20179754312680653,-0.00015086272973980133,-0.07179806952697257
FDOPA,-0.08929434062170362,-0.25106359787322374,1.0544892271333208,-0.12472794367441455,0.03149026286416052,0.0259775785053213,0.04901223268439805,-0.16121851788797797,-0.0860717430784305,0.1519947937434691
GABAa,0.5780602491010626,0.08546167624621102,0.1574770014746512,-0.261031051037233,0.05303086394449991,0.14468926348379033,0.20160292636101407,0.01913563500956842,0.5097859086670774,0.0031344327372025875
GI,-0.3296251103423909,-0.07008669401531502,-0.1349154831889135,0.9190375492804637,-0.11939853427398896,0.2600592077845388,-0.2618185638877509,-0.07374747906744587,-0.10328752131911793,0.03271397060074282
H3,0.2637216894409505,-0.133610733855652,0.18294270217814806,-0.04005633891594795,0.2489996918942012,0.18987362471187308,-0.22390319268801806,0.6804782791397449,0.018443508907688158,-0.04088990322040194
HDAC,0.4200004392087744,0.202997154072451,-0.28579116222406625,0.29920750382625,-0.01881824830291267,0.15377906707196407,0.15219733177595124,0.1195024254788763,0.23752245232523048,-0.01775933690067569
M1,1.1127766900779874,-0.009024253675145732,-0.16195062995106863,-0.13422581320625918,-0.14586685997295062,0.01505368565836335,0.02386690642168458,0.15171887285689245,-0.046233558960877275,-0.04836836900060561
mGluR5,0.6411103435647503,0.002460748284387511,0.2927143057114225,-0.020630023767663097,0.18629674410437846,0.08942879440714394,-0.30788950617724303,-0.04223290131724516,0.16099292315410388,-0.04282619119954388
MU,-0.030406274719022318,0.034619874673979124,0.31259109808742874,0.541204544407961,0.027291924968806693,-0.11406224775781754,-0.519131463329923,0.20754784317696653,-0.06025316905130997,-0.02597010152635385
NET,0.4052227245901283,-0.1106235512330584,-0.4482226347966953,0.018590710474485076,0.7346659610409004,0.05477311017551707,0.04972960300323776,-0.010902209050470884,-0.16506924915911914,0.05976571267016884
NMDA,0.053544442096196555,0.3195041389654429,0.43732527939800847,0.15813878979361903,0.16508654113081322,0.28981651212461684,0.03228486666136702,-0.19812303597374056,-0.01974822386676792,-0.08142119288981549
SV2A,1.2219730537167715,-0.12117496217184254,-0.14287232519172172,-0.33769622600377275,-0.1266523738260868,0.015591070502533845,-0.1029536546673285,0.06736865002074612,0.16762386000409643,0.042451812073848634
TSPO,-0.0029411167072906793,0.17822737650583553,0.4314810520353021,0.07973400108202225,0.08187990129473803,0.016032128697346815,0.05993188213362477,-0.05988889162110283,0.07988779516444153,0.7387094117510072
VAChT,-0.341905287239802,0.07674530024588883,0.24315871083957413,-0.04800998916895698,0.9384309615940909,-0.1264419208220702,-0.14096522307675644,0.2460535761729166,0.10945427969080057,0.021733870802177906
