,ni1-SV2A-M1-mGluR5-5HT6-CB1-GABAa-HDAC,ni2-5HT2a-5HT4-5HT1a-5HTT,ni3-FDOPA-DAT-D1-NMDA,ni4-GI-5HT1b-MU-A4B2,ni5-VAChT-NET,ni6-CBF-CMRglu,ni7-COX1,ni8-H3,ni9-D2,ni10-TSPO
lh_G&S_frontomargin_thickness,-0.004902107260649852,0.49934654334583095,-0.726129975877218,1.867720970053003,-0.4989242309506682,-0.42593427205627216,-0.13036309403988885,0.8364671912905457,0.24913578568805975,1.1818882401155812
lh_G&S_occipital_inf_thickness,0.02967940524172514,-1.1866345885111347,-0.8670465049291166,-0.510885204712917,-0.5558020526070977,-0.6462953835262759,1.2778167203673545,-0.28354965463446913,-0.35681644938374146,0.6828876717816171
lh_G&S_paracentral_thickness,-0.7455659993244111,-1.3379717536196574,-1.8256900245521812,-0.811133160253395,1.5251408689214891,0.7624634123949168,-0.5508118260347804,-0.608181576196695,-0.8240535858104302,-0.44803549166599493
lh_G&S_subcentral_thickness,0.9195659332430249,0.69562281006254,-0.07141393975166341,0.17471652504357876,1.452905685218344,-0.09144646594351688,-0.47579821554348084,-0.0778995942964609,-0.354827213637656,0.3875834787740037
lh_G&S_transv_frontopol_thickness,-0.08667660503732605,0.5360426005940043,-1.633199132555283,1.2518559096512678,-1.4369700287766487,-0.9066567243151873,-0.5947223019465866,1.7192046930627638,0.5144113682728535,0.5883514938382017
lh_G&S_cingul-Ant_thickness,0.8802096991693724,0.07759368977019365,1.3710181542873927,0.6913672262353986,0.48029410583189824,-0.12916637241943005,-0.8052813987304109,1.0100766073187846,0.3940483665818115,0.8487855984786727
lh_G&S_cingul-Mid-Ant_thickness,0.5582628875758691,-0.1930420574217328,1.001630773340255,0.5439372741884223,1.4738133909437312,-0.07863364388274235,-0.8712733732439657,1.1921271456861926,0.8147689602250632,0.48556494834864866
lh_G&S_cingul-Mid-Post_thickness,0.246182766769381,-0.9574110590233238,0.5409096326668333,0.1514672537982789,1.7426374291143665,-0.14513353173560545,-0.6945222622063302,0.9761018752869555,0.8168163013997376,0.6369268654753735
lh_G_cingul-Post-dorsal_thickness,-0.11643475405883652,-0.5441010906621568,0.7652156348332461,0.1612039445504833,0.029758587322594454,1.674601342511836,-0.56143037610436,-0.7313122431411367,1.5954115465736545,1.6699666918112899
lh_G_cingul-Post-ventral_thickness,-4.514823311905401,-1.263499994981905,-1.6578651876509427,-3.897029406435341,-4.004328382856585,0.15949976420400064,-1.667605451050446,-0.3774381137415991,0.4157904473100059,0.5705864335357642
lh_G_cuneus_thickness,0.7625154182656234,-0.14529054907788846,-0.39188023673546263,-0.2631745549352523,-0.04232340975133081,1.3485960541878286,3.637338208407025,-0.3199975797546574,1.4628692725931447,-1.1547105665219843
lh_G_front_inf-Opercular_thickness,0.9961467609437918,0.8386776255608669,0.560223287761759,1.061279863885946,0.8145718255584338,0.7415014430985661,-0.5693785545956116,0.10245153390654203,0.36227473268130134,0.3413565384898251
lh_G_front_inf-Orbital_thickness,0.519682322549952,0.9790745805940855,0.2907561308151723,1.1242693451915808,0.19204826849231507,0.07885763772629703,-0.15364474736714664,0.01697254612113948,0.40816928169116434,1.902844502672825
lh_G_front_inf-Triangul_thickness,0.23419293798980292,0.017172742801393553,-0.15030402664147954,1.521885016545447,0.489835265237612,0.4271785280583629,-0.07128326531842602,-0.0879271426567941,-0.08123675737236567,1.224512855803932
lh_G_front_middle_thickness,0.4420624835878335,-0.9916089789261876,-0.5333227019278544,1.740993094142629,0.1589688436618202,0.08175247157285159,-0.379653292300805,0.3290364520632763,-0.10003261521625079,-0.2833576862505852
lh_G_front_sup_thickness,-0.06462929843854544,-0.011320637882883861,-0.8958657481509364,0.4742260058765106,0.29157869663744124,-0.09075694578239187,-0.8661637389818522,0.24968025095142896,0.05755248735539225,-0.8211705771643567
lh_G_Ins_lg&S_cent_ins_thickness,0.7521361624542393,2.7908457268817846,2.0620204262934125,-0.7709288591684236,1.0992766075034928,-0.5816045465963783,-0.1525971927478677,1.6496861457885768,-2.7913645748174325,0.7983929091712014
lh_G_insular_short_thickness,0.663883384993002,2.6196287554732645,1.8961650654475641,0.21584859720533664,0.7123270263079984,0.1446535620137332,-0.5019206868782448,1.568889812061593,-2.028493794966951,0.7310920230848769
lh_G_occipital_middle_thickness,0.8694307309995496,-0.5765461929174163,-1.2776992877162632,0.4678715901114431,-0.009192359681510498,-0.9208760396068231,0.9535492213367038,-0.19242319172259442,-0.21812325862605292,-0.278964339657176
lh_G_occipital_sup_thickness,0.13163210551075522,-1.5398540176503404,-1.7891678660308683,-0.5623441404967733,-0.35186021275601487,-0.20711042283925185,2.099515759337774,-0.424577604884288,-0.1101820452764949,-1.9597562952354475
lh_G_oc-temp_lat-fusifor_thickness,-0.0751560898464401,0.5441552110885299,0.15835735156068853,-0.473527986741903,-0.6234183044411128,-0.17487181806662183,-0.30827065336775694,-0.13027593857202324,0.15196952032573696,2.183277075404689
lh_G_oc-temp_med-Lingual_thickness,-1.168004544670405,-0.428605493293703,-0.3145722143975249,-0.9548694087604839,-1.537099034182249,1.7166242034136836,2.0211958696389734,-0.036286441129934184,2.1835312429691016,1.3457644878557669
lh_G_oc-temp_med-Parahip_thickness,-2.996246808298575,-0.25314580976309925,-0.6147763326356471,-3.338720197822967,-1.9749467713862092,-2.06970741068377,-0.8792405000728608,1.2124686650867063,-2.2360738338535837,2.7209554454220033
lh_G_orbital_thickness,0.03233108405158428,1.335029184969125,0.026732901343949934,0.6725586735443437,-0.6276840578645129,-0.6338134045040171,-0.6645728299189365,1.5382524087640983,0.4782947221570387,1.3606968522248155
lh_G_pariet_inf-Angular_thickness,1.1022463840618857,-0.34671294541423964,-1.0171811110363258,0.9972473755054774,-0.15102619714974738,-0.20022353683035346,-0.3388617012728873,-0.2020522921373851,-0.02056946594034674,-0.17744617069167834
lh_G_pariet_inf-Supramar_thickness,1.1383883510715163,-0.14649087516877035,-0.35637304427887095,0.6067664388497455,0.4858179905150447,-0.534306674438278,-0.5996282365300537,0.2975641452257106,-0.22723169527716233,0.17517784471618528
lh_G_parietal_sup_thickness,-0.02862672951781981,-1.556745852446765,-1.3495897853439145,0.07779409087970499,-0.22743929479026986,-0.06514301554671129,-0.5345527806156886,-0.8012687086817981,-0.3215953184910968,-1.5336221635595428
lh_G_postcentral_thickness,0.01131947401212731,-1.9549555207223062,-2.072954460248897,-0.02394696318905364,0.8677839717450248,-0.29481943837875146,0.13309305107784877,-0.024289282461390407,-1.0387000975577934,-0.6438275951511462
lh_G_precentral_thickness,-0.3398501379764294,-1.2437389346494845,-1.755103863158894,0.5757720852635719,1.2550107551297207,-0.1353291838308503,-0.3151645451118038,-0.13343254651061326,-0.7726019494924427,-0.16644308761953724
lh_G_precuneus_thickness,0.6215260604208341,0.10889597534521782,0.008798467710333623,0.16691303035000565,0.025636480754306093,1.4827043203647092,-0.6201696264131207,-0.9448339587349228,0.834407284756129,-0.23515704537924934
lh_G_rectus_thickness,0.150693582106067,0.6001307610713389,0.29268628270902636,0.14273032680902076,-1.1824460591507462,-0.2530166313877279,-1.3451256536778267,1.8072519317636233,1.083349841267535,0.8781101313622474
lh_G_subcallosal_thickness,-0.01347512122224552,1.5270096979868095,3.0898339422745074,-0.7783221224624886,0.13683625292357393,-0.18005839493748912,-0.9810100310168797,3.053276826933531,-0.7983276545869806,-0.8605161568488641
