,5HT1a,5HT1b,5HT2a,5HT4,5HT6,5HTT,A4B2,CB1,CBF,CMRglu,COX1,D1,D2,DAT,FDOPA,GABAa,GI,H3,HDAC,M1,mGluR5,MU,NET,NMDA,SV2A,TSPO,VAChT
lh_G&S_frontomargin_thickness,0.19938085973262787,1.1003286838531494,0.4725300669670105,0.3855207860469818,0.42511388659477234,-0.30737125873565674,0.24519801139831543,1.1004902124404907,-0.0733654722571373,0.5247600078582764,-0.14392916858196259,0.8784708380699158,0.04768022894859314,-1.0367182493209839,-1.511409044265747,-0.7953625917434692,1.2528507709503174,-0.03983837366104126,1.5108675956726074,-0.028094232082366943,-0.6974419951438904,1.056249976158142,0.09916767477989197,-0.779233992099762,-0.6258978843688965,0.7162485122680664,-0.21815884113311768
lh_G&S_occipital_inf_thickness,-1.0560307502746582,-0.032195478677749634,-0.9528532028198242,-1.108035683631897,0.24847951531410217,-0.8755784630775452,-0.022961478680372238,-0.3128369450569153,-0.510857343673706,-0.03621618449687958,1.0021387338638306,-0.8568148612976074,-0.39119890332221985,-0.5237916707992554,-0.22892864048480988,-0.6386492252349854,-0.15388403832912445,-0.9190982580184937,0.5488635301589966,0.23457293212413788,-1.030553936958313,-1.4536445140838623,0.22763985395431519,-0.8778873085975647,0.21156904101371765,-0.05406670644879341,-1.0583809614181519
lh_G&S_paracentral_thickness,-0.7103941440582275,-0.9243829250335693,-0.9666430950164795,-1.0098931789398193,-1.3408712148666382,-0.2175891250371933,-1.2494043111801147,-0.6545414328575134,0.2154574692249298,0.226491779088974,-1.1648054122924805,-2.0128345489501953,-1.3251277208328247,-1.642290472984314,-1.279508113861084,-1.0161863565444946,0.6071167588233948,-0.03261297196149826,-0.7496185302734375,-0.5593144297599792,-0.9081185460090637,-0.8745051622390747,2.0579464435577393,-0.4884708523750305,-0.3040662705898285,-1.289703369140625,0.6123319268226624
lh_G&S_subcentral_thickness,0.5733582377433777,0.6801704168319702,0.6538625359535217,0.8153458833694458,0.5361177921295166,0.3157743513584137,0.12066587060689926,0.9883517026901245,-0.07443775236606598,-0.425226092338562,-0.551299512386322,-0.7566439509391785,0.06063292920589447,-0.3239274322986603,-0.16721028089523315,0.6690441966056824,-0.5816923379898071,0.33602073788642883,-0.020383358001708984,0.5872777700424194,1.4901008605957031,0.3018788695335388,1.5088156461715698,0.5094607472419739,0.49682021141052246,0.30501896142959595,1.0211329460144043
lh_G&S_transv_frontopol_thickness,0.588811993598938,0.499908983707428,1.1227867603302002,0.8432712554931641,-0.23005394637584686,0.012989601120352745,0.1548076570034027,1.1534351110458374,-0.5023502707481384,0.19594071805477142,-1.1575318574905396,-0.21807961165905,-0.34194961190223694,-1.5754342079162598,-3.0421457290649414,-0.4933018386363983,1.431297779083252,0.3303828835487366,1.2998878955841064,0.4744639992713928,-0.5497395396232605,0.6200078129768372,-0.8697912096977234,-2.3254010677337646,-0.11041675508022308,-0.2955990135669708,-0.5310242772102356
lh_G&S_cingul-Ant_thickness,0.01250690221786499,0.8202167749404907,-0.1337691694498062,-0.15229836106300354,0.8043856024742126,-0.1783449947834015,0.33437836170196533,1.3459198474884033,0.5666345357894897,-0.132346972823143,-0.14667004346847534,1.326518177986145,0.2584175169467926,0.3392038345336914,1.7677195072174072,0.7248218655586243,0.5798748731613159,2.3168423175811768,0.01339908130466938,0.5078904628753662,1.4651418924331665,1.683022379875183,-0.06767718493938446,0.1479949653148651,1.0272924900054932,1.20406973361969,0.6495508551597595
lh_G&S_cingul-Mid-Ant_thickness,-0.3395928144454956,0.6173698306083679,-0.34116095304489136,-0.4602035582065582,0.01941455528140068,-0.20507828891277313,1.079163670539856,0.9582183361053467,0.590981662273407,-0.20931734144687653,-0.34986576437950134,0.6918478608131409,-0.13500763475894928,0.37195393443107605,1.3123430013656616,0.7489864826202393,0.083302803337574,1.8986021280288696,0.23204682767391205,0.09552570432424545,1.144340991973877,1.4649813175201416,0.650418758392334,0.24444074928760529,0.7835118770599365,0.897975504398346,2.439500570297241
lh_G&S_cingul-Mid-Post_thickness,-0.837468147277832,-0.11367621272802353,-1.246661901473999,-1.179776906967163,-0.5274268984794617,-0.4681355953216553,0.7334039807319641,0.5030754208564758,0.22945536673069,-0.4109337031841278,-0.1836627572774887,0.5382049679756165,-0.7199819684028625,0.46891477704048157,0.7621670961380005,0.9805052280426025,-0.21931754052639008,1.1788108348846436,-0.07998026907444,-0.0574454665184021,0.9334858059883118,0.7864524722099304,0.9959614276885986,-0.6314520239830017,0.46047937870025635,0.6324620842933655,3.0226805210113525
lh_G_cingul-Post-dorsal_thickness,-0.9187332391738892,-0.5563048720359802,-0.6092439889907837,-0.6974563002586365,-0.20386284589767456,-0.49249565601348877,-0.6756345629692078,-0.5548626184463501,1.3720715045928955,1.5248255729675293,-0.3016098141670227,1.451528787612915,-0.9496829509735107,0.3249605596065521,0.6593877673149109,1.641821026802063,1.8765099048614502,-0.23488886654376984,0.09552708268165588,-0.16009081900119781,0.8845114707946777,-0.014051651582121849,-0.7079455256462097,0.8319894671440125,0.00026954535860568285,1.7603003978729248,0.7261427640914917
lh_G_cingul-Post-ventral_thickness,-0.478697270154953,-3.698086738586426,-1.05332350730896,-0.5538241267204285,-5.1953606605529785,-0.2088700383901596,-5.288929462432861,-3.3184194564819336,0.31688693165779114,-0.3239835500717163,-1.6785848140716553,-1.8163223266601562,-2.2047390937805176,-0.696739912033081,-0.6744940280914307,-2.601234197616577,-0.33888164162635803,-1.9016271829605103,-2.9682822227478027,-3.6961870193481445,-3.2837352752685547,-1.8123500347137451,-4.159909248352051,-2.382784605026245,-3.2637760639190674,-1.167269229888916,-2.555774211883545
