,mGluR5-abp688-73-smart2019.nii.gz,mGluR5-abp688-13-kaulen2022.nii.gz,D2-flb457-55-sandiego2015.nii.gz,mGluR5-abp688-28-dubois2015.nii.gz,VAChT-feobv-4-tuominen.nii.gz,D2-flb457-37-smith2019.nii.gz,VAChT-feobv-18-aghourian2017.nii.gz,mGluR5-abp688-22-rosaneto.nii.gz
lh_G&S_frontomargin_thickness,-0.6966040134429932,-0.5035833120346069,0.0017250876408070326,-0.026389796286821365,-0.05787040293216705,-0.42922425270080566,-0.12235265970230103,0.820284366607666
lh_G&S_occipital_inf_thickness,-1.0461208820343018,-0.6209261417388916,-0.40012556314468384,-0.73401939868927,-1.1044026613235474,-0.3066999614238739,-1.0359681844711304,-0.37045004963874817
lh_G&S_paracentral_thickness,-0.895741879940033,-2.2334296703338623,-1.3071449995040894,-1.3670933246612549,0.5907348990440369,-1.1896483898162842,0.5344797968864441,-1.1081178188323975
lh_G&S_subcentral_thickness,1.4751743078231812,0.2813032865524292,0.0499306358397007,1.2639535665512085,0.6105105876922607,0.04404757544398308,1.0481988191604614,1.1212695837020874
lh_G&S_transv_frontopol_thickness,-0.5591135621070862,-0.3727540671825409,-0.4026731252670288,-0.01685541868209839,0.038934893906116486,-0.3897128105163574,-0.5799732208251953,0.5679766535758972
lh_G&S_cingul-Ant_thickness,1.4385337829589844,1.4594703912734985,0.2386443316936493,1.887410283088684,0.6646779775619507,0.1408887505531311,0.5920041799545288,1.5865728855133057
lh_G&S_cingul-Mid-Ant_thickness,1.124491810798645,0.8311943411827087,-0.14875850081443787,1.4356743097305298,1.6083821058273315,0.0015886015025898814,2.455587863922119,0.9056975245475769
lh_G&S_cingul-Mid-Post_thickness,0.8987357020378113,1.1959373950958252,-0.7186750173568726,0.8564956188201904,1.5446163415908813,-0.33360883593559265,3.0218167304992676,0.7076759934425354
lh_G_cingul-Post-dorsal_thickness,0.8785555362701416,1.1850608587265015,-0.9443174004554749,0.986033022403717,0.32633939385414124,-0.9051191806793213,0.6661822199821472,0.8805964589118958
lh_G_cingul-Post-ventral_thickness,-3.262080192565918,-2.6142256259918213,-2.148381233215332,-3.2320666313171387,-1.1441212892532349,-2.3052027225494385,-2.561326503753662,-3.6682634353637695
lh_G_cuneus_thickness,0.058205097913742065,-0.26362597942352295,-0.9624560475349426,-0.17811767756938934,-0.5624957084655762,-1.052834391593933,-1.387032389640808,-0.33675986528396606
lh_G_front_inf-Opercular_thickness,1.812582015991211,0.5183588266372681,0.2776987850666046,1.5088657140731812,0.33390572667121887,-0.022934526205062866,0.8774012923240662,1.0483027696609497
lh_G_front_inf-Orbital_thickness,0.31576576828956604,0.512983500957489,0.040820665657520294,1.0314512252807617,-0.65561443567276,-0.004613215569406748,0.18233761191368103,0.809203028678894
lh_G_front_inf-Triangul_thickness,0.37392425537109375,-0.5714478492736816,-0.16727103292942047,0.6764501929283142,-0.5713056325912476,-0.4696961045265198,0.24007269740104675,1.2165645360946655
lh_G_front_middle_thickness,0.4600364565849304,-0.810172438621521,-0.27584463357925415,0.6898680329322815,-0.27810612320899963,-0.43815189599990845,-0.256606787443161,0.8606963157653809
lh_G_front_sup_thickness,-0.006825355812907219,-0.8383803963661194,-0.6227632761001587,-0.11521453410387039,-0.2387579083442688,-0.5997040271759033,-0.0302457083016634,-0.34734705090522766
lh_G_Ins_lg&S_cent_ins_thickness,0.7224239110946655,0.8719942569732666,2.677513360977173,0.5493289232254028,2.9509055614471436,3.1558947563171387,2.613863945007324,0.298264741897583
lh_G_insular_short_thickness,1.0266250371932983,1.315248966217041,1.929327368736267,1.0173097848892212,1.476532220840454,2.8943331241607666,1.3287264108657837,1.0746314525604248
lh_G_occipital_middle_thickness,-0.1688660979270935,-0.08633977919816971,-0.07893329858779907,0.3743273913860321,-0.8921183347702026,0.1283770054578781,-0.674860954284668,0.8732579350471497
lh_G_occipital_sup_thickness,-0.8555044531822205,-0.8210905194282532,-0.7967790365219116,-0.8299612998962402,-0.9159358739852905,-0.6005468964576721,-1.1804704666137695,-0.3165265619754791
lh_G_oc-temp_lat-fusifor_thickness,-0.6192463636398315,0.7454824447631836,0.11118859797716141,0.021378422155976295,-0.32384762167930603,0.1261182576417923,-0.9383479952812195,0.10722056776285172
lh_G_oc-temp_med-Lingual_thickness,-1.226285696029663,-0.396039217710495,-1.374511480331421,-0.8627346158027649,-0.4375757575035095,-1.3845055103302002,-1.7253390550613403,-0.8724380135536194
lh_G_oc-temp_med-Parahip_thickness,-2.770676374435425,-1.289507508277893,0.22559404373168945,-2.7913262844085693,-0.4283865988254547,-0.32811710238456726,-1.0298950672149658,-2.979447603225708
lh_G_orbital_thickness,-0.44812852144241333,0.5892624258995056,0.2198757827281952,0.23781506717205048,-0.24493685364723206,0.33606451749801636,0.3090148866176605,0.5518643260002136
lh_G_pariet_inf-Angular_thickness,0.7071129083633423,-0.152347132563591,0.32473212480545044,0.5043855905532837,-0.8687694072723389,0.4190770983695984,-0.6804275512695312,0.47968125343322754
lh_G_pariet_inf-Supramar_thickness,1.214540719985962,-0.20854030549526215,0.5067833065986633,1.0367740392684937,-0.11185576766729355,0.4913959503173828,0.06347957253456116,1.1762161254882812
lh_G_parietal_sup_thickness,-0.12047712504863739,-1.2574527263641357,-0.5587632656097412,-0.6651796698570251,-0.9319961667060852,-0.3957558870315552,-0.7445186376571655,-0.42153337597846985
lh_G_postcentral_thickness,-0.5797499418258667,-1.8992352485656738,-0.6008678674697876,-0.8000745177268982,-0.44765910506248474,-0.3435790538787842,0.06349458545446396,-0.8812095522880554
lh_G_precentral_thickness,-0.6122487783432007,-1.7870638370513916,-0.8980386257171631,-0.5980604290962219,-0.19329765439033508,-0.6853467226028442,0.8204261660575867,-0.45956316590309143
lh_G_precuneus_thickness,1.0158348083496094,-0.16188852488994598,-0.46584734320640564,0.3885034918785095,-0.32404547929763794,-0.6319938898086548,-0.49820777773857117,0.4265303909778595
lh_G_rectus_thickness,0.32789334654808044,0.995643675327301,0.005740414373576641,1.0925744771957397,0.6384896636009216,0.31704550981521606,-0.05663822218775749,0.9081129431724548
lh_G_subcallosal_thickness,0.6939653754234314,1.0434139966964722,2.5274715423583984,-0.4288689196109772,2.522994041442871,2.4527482986450195,1.1359171867370605,-1.1955592632293701
lh_G_temp_sup-G_T_transv_thickness,1.152037501335144,1.0413323640823364,0.4438646137714386,1.1830222606658936,2.311542272567749,-0.34149405360221863,2.5554873943328857,-0.052364908158779144
lh_G_temp_sup-Lateral_thickness,0.7026383280754089,0.22330740094184875,1.2049202919006348,0.7983350157737732,-0.20681630074977875,0.5836959481239319,0.567439079284668,0.22352662682533264
lh_G_temp_sup-Plan_polar_thickness,-1.0908809900283813,-0.08046801388263702,1.8234245777130127,-1.4613416194915771,0.08934405446052551,1.4329944849014282,-0.2586704194545746,-2.3060739040374756
lh_G_temp_sup-Plan_tempo_thickness,1.0950751304626465,0.21191014349460602,0.4257015287876129,1.2515069246292114,0.3738281726837158,0.2224711775779724,0.2665897309780121,0.7970011234283447
lh_G_temporal_inf_thickness,-0.14220814406871796,0.6829193234443665,1.6214900016784668,0.5702044367790222,-0.8916639089584351,1.0848277807235718,-0.666634202003479,0.4603727459907532
lh_G_temporal_middle_thickness,0.551089882850647,0.875882625579834,1.5759831666946411,1.3246512413024902,-0.8073257207870483,0.95938640832901,-0.2855621874332428,0.9232221841812134
lh_Lat_Fis-ant-Horizont_thickness,0.2968394160270691,0.37747228145599365,-0.569160521030426,0.7784362435340881,-0.4840987026691437,-0.17502817511558533,0.22415736317634583,0.6799667477607727
lh_Lat_Fis-ant-Vertical_thickness,1.66996169090271,1.1268430948257446,0.1711438000202179,1.5513548851013184,0.015002328902482986,0.10697648674249649,0.6026709675788879,0.972088098526001
lh_Lat_Fis-post_thickness,-1.0466560125350952,-0.8533276915550232,-0.7460014820098877,-0.7656995058059692,1.396674394607544,-1.0196880102157593,0.13702325522899628,-0.6808524131774902
lh_Pole_occipital_thickness,-1.7711464166641235,-0.35797545313835144,-1.1189441680908203,-0.8387956619262695,-1.1561651229858398,-0.9823184013366699,-1.2541848421096802,-0.059057146310806274
lh_Pole_temporal_thickness,-0.6990668773651123,0.10026596486568451,2.2095022201538086,-0.45525532960891724,-1.0171393156051636,1.090242862701416,-0.8313224911689758,-0.9506463408470154
