,,ni3-FDOPA-DAT-D1-NMDA,ni4-GI-5HT1b-MU-A4B2,ni5-VAChT-NET,ni6-CBF-CMRglu,ni9-D2,ce3-Micro-OPC,ce4-In3-In2-Astro,ce5-In6-Ex2,ce9-In8
"Δ(5,30)",lh_G&S_frontomargin_thickness,-0.003364152310377594,0.009282080541923685,0.0007643973080508626,0.0011568642559250109,-0.001565415429850739,-0.010402725254325118,0.00602664801553153,0.0030054621636477485,0.018513402074238197
"Δ(5,30)",lh_G&S_occipital_inf_thickness,-0.0006102730900359177,0.0024666793800330877,-0.0009190382186701901,0.006340773938474861,0.0036851998916648254,-0.006131039860995863,0.010665148372718605,0.001676410579578222,-0.003538363061243152
"Δ(5,30)",lh_G&S_paracentral_thickness,-0.005270725593748304,-0.003677716595422195,-0.005419534445577162,0.00959398674670877,-0.011791502536608087,-0.007451981890597356,0.010208912034746782,0.0005118330291774206,-0.0057388496080008
"Δ(5,30)",lh_G&S_subcentral_thickness,0.0009045865830082933,-0.002515091187771462,-0.0032308493993535997,-0.006522324086030415,-0.0006612506339919999,-0.00498209797220861,-0.010593785823176008,-0.002921589368025418,-0.0031227141932252123
"Δ(5,30)",lh_G&S_transv_frontopol_thickness,-0.0028294929190751106,0.006933613667524957,0.002761263931393726,-0.004075637233670104,0.0007825698358080169,0.003164351337338736,0.0029813893275064257,0.0013342716616896733,0.012062041444194982
"Δ(5,30)",lh_G&S_cingul-Ant_thickness,0.0016987686947467773,0.0021286613157668333,-0.0005673002317519993,-0.0024559217514697473,0.008497493971452719,-0.005688477582660459,0.008668585765392922,-0.00044975725906935826,-0.009704975096989532
"Δ(5,30)",lh_G&S_cingul-Mid-Ant_thickness,-0.00020424280200356804,0.0015498145840693034,0.006271661603526768,0.005426122415003093,-0.005719408579670446,-0.003882418550860453,0.00014125237442945415,-0.0005377515303017499,2.526647692849271e-05
"Δ(5,30)",lh_G&S_cingul-Mid-Post_thickness,0.0009348388300060573,-0.0032153813565316824,-0.006387520046021736,-0.009762990835348248,0.016120812192676595,0.000979488339028084,0.006803249459894939,-0.0012744748269029188,-0.011952738199024676
"Δ(5,30)",lh_G_cingul-Post-dorsal_thickness,-0.0013311149689101132,0.0023742783400756695,-0.00217169345705312,-0.008284218499961554,-0.0069861107860443306,-8.987885335476342e-05,-0.012192554092376545,0.0009428716336428722,0.0076228225903040014
"Δ(5,30)",lh_G_cingul-Post-ventral_thickness,-0.002635338690275449,-0.010860100074675139,0.010180232809950798,0.019620820101849692,-0.0013159732135319124,-0.016760957382605496,0.016404525091666497,-0.0016685838673946018,-0.006082340352904225
"Δ(5,30)",lh_G_cuneus_thickness,0.0002692233619224771,0.002841405559943916,0.001165893813870833,-0.00024191323259739606,0.004533537325886794,0.010019789512876603,0.0035612545225372216,-0.0005246407242341378,0.008661150611744467
"Δ(5,30)",lh_G_front_inf-Opercular_thickness,-0.0008751287896662657,-0.003828789799264043,-0.00030011187791983973,-0.0011221278806548135,-0.0030822137721834564,0.010941958000035515,0.006520759832519499,0.00015761836421750164,0.007890100074449638
"Δ(5,30)",lh_G_front_inf-Orbital_thickness,0.0026276041764869418,0.0025931292127553407,0.003942874175666702,-0.0049870079284063396,0.0038362278915327064,-0.008638543945209104,-0.012447168078191878,-0.004859812631454824,-0.012087314565655524
"Δ(5,30)",lh_G_front_inf-Triangul_thickness,9.447020889775948e-05,0.004916002004595008,0.00189585342650328,0.0007800391673292995,-0.006793407608742946,-0.008677261633604383,-0.007479135780839724,-0.0016283857708866145,0.0004417591491770595
"Δ(5,30)",lh_G_front_middle_thickness,0.0014321857027378565,-0.007023847713074544,-0.0015108020549513546,-0.0010828002511725637,0.007555101307417503,0.0022907509915309626,-0.0026839358401613694,0.00019000398909659044,-0.0009932616062454103
"Δ(5,30)",lh_G_front_sup_thickness,0.0014933533572543123,0.00032987166444771454,0.0005200800572272707,0.0012030312097831564,0.0021060006654264607,0.0027106463591224927,0.002442285760862681,0.0013655193669797477,0.001849361758324397
"Δ(5,30)",lh_G_Ins_lg&S_cent_ins_thickness,0.0008995223142213501,-0.0013722517723104843,-0.003881975238537269,0.0059968123075042,-0.02162680041955111,0.004737714962269303,0.00702744914545133,0.0019777624336241514,0.008763077483909552
"Δ(5,30)",lh_G_insular_short_thickness,-0.005336025728249233,0.0023702792564050668,-0.004364943165138482,-0.0024330866123121325,0.02554640036553861,-0.003649889412908766,0.00675927579977488,0.007101800915639847,0.011532579692717843
"Δ(5,30)",lh_G_occipital_middle_thickness,0.002512460530381594,0.00036199931620514714,0.0020246440448704606,0.006073070126852903,-0.0008963033863722408,-0.0014087622816778694,0.000675988629266433,-0.001116294751639671,8.346726941428628e-05
"Δ(5,30)",lh_G_occipital_sup_thickness,-0.0015887982607165896,-0.0019420013411247106,1.701092841580043e-05,-0.0028956690864294643,-0.003050638271233863,0.009267101801571892,-0.007845323928426698,-0.0007292548241374514,-0.0015931400200967505
"Δ(5,30)",lh_G_oc-temp_lat-fusifor_thickness,-0.0020757793567414834,0.0015272802105008032,-0.0020393034090530338,0.0037987452910971525,-0.003327807627527185,-0.008253784494067079,0.008719199627636745,0.0008971005828039835,0.00462203962097385
"Δ(5,30)",lh_G_oc-temp_med-Lingual_thickness,-0.001462773177761445,0.0037036411152400195,-0.005920206464765376,-0.007435077922925276,-0.013591847059005624,0.002683006827148615,0.008953200239489506,-0.00014475854506457164,0.006092585202266354
"Δ(5,30)",lh_G_oc-temp_med-Parahip_thickness,-0.0031946364548884956,-0.005779488903261059,0.0008903684891215305,0.006423602662958598,-0.007512270471380561,-0.0003454367409192957,0.004903666645906329,0.0017640052380884508,0.006336000848667936
