,ni1-5HT1a,ni2-5HT1b,ni3-5HT2a,ni4-5HT4,ni5-5HT6,ni6-5HTT,ni7-A4B2,ni8-CB1,ni9-CBF,ni10-CMRglu,ni11-COX1,ni12-D1,ni13-D2,ni14-DAT,ni15-FDOPA,ni16-GABAa,ni17-GI,ni18-H3,ni19-HDAC,ni20-M1,ni21-mGluR5,ni22-MU,ni23-NET,ni24-NMDA,ni25-SV2A,ni26-TSPO,ni27-VAChT,ce1-Ex1,ce2-Ex2,ce3-Ex3,ce4-Ex4,ce5-Ex5,ce6-Ex6,ce7-Ex7,ce8-Ex8,ce9-In1,ce10-In2,ce11-In3,ce12-In4,ce13-In5,ce14-In6,ce15-In7,ce16-In8,ce17-Astro,ce18-Endo,ce19-Micro,ce20-OPC,ce21-Oligo,mr1-Microstr
ni1-5HT1a,1.0,-0.14175770072222613,0.7803595953164505,0.9313903685907521,0.15744233481529743,0.7863713597174767,-0.1234225596641704,0.4986802992555629,-0.14523001291937054,-0.4106619974309332,-0.35897711161373674,0.4402395821379522,0.6883100056637929,0.41950936006544826,0.37051199946693714,0.02664944083927785,-0.18776028459633445,0.330809922372722,-0.04330765500468281,0.17319730359040042,0.3076550046828091,0.4686807064563536,-0.2137433968689961,0.38553030499339225,0.12965273176203185,0.5749638146570074,0.299218544664374,0.5755377512826474,-0.08699072329033694,-0.4080152005778269,0.4253636020975072,0.44512589544899883,0.21648869355826778,0.34600980016963445,0.2805763648756906,0.458818754705808,0.19127779132762335,0.26055185963192545,-0.48426873248529,0.37192636087507364,-0.22203370386840338,0.1189227332891082,0.36763071311047624,0.20577271049021012,0.0074826790728916345,0.46187660809658515,0.4973561907555267,-0.08551770942491843,-0.4382480000888438
ni2-5HT1b,-0.14175770072222613,1.0,0.14910582408185477,-0.05332109263077624,0.5247892735908076,-0.2276178383560934,0.684038099186709,0.30784749960205376,0.4522297945116737,0.535831818669786,0.17211266875696407,0.06671059499439173,-0.07727560460062857,-0.2978821857057715,-0.2662982116481637,0.4658451082228647,0.4593706156505773,0.3926155987517445,0.6674761324809263,0.44086519062549745,0.3628010972210397,0.2745125621443934,0.4931793867556092,0.20381880305178485,0.4106323828279725,0.045891529113005626,0.07258169003135446,-0.3170045376155036,0.3839264110038233,0.3021394369579426,0.10145865005224851,0.12219652588528701,-0.1234150399729107,-0.10878515880694788,0.0819932731081841,-0.11767337074356998,-0.05033504317340425,-0.2671071569387617,0.06502662125519612,-0.012827174406582851,0.49828164449296236,-0.010235903941762867,0.18279446540112934,-0.24637699322020182,-0.09924527319688145,-0.014643377366300428,-0.0340509134517751,-0.03171414276474994,-0.1002306237205566
ni3-5HT2a,0.7803595953164505,0.14910582408185477,1.0,0.9194186653438811,0.25966083875959234,0.6965502689376132,-0.0042904156039343,0.3314355308602672,0.12976378652313456,0.006885395188367384,-0.08725572579839119,0.41849135808867355,0.3780044940159993,0.1646275778586421,0.10654223597656004,0.31591007525810977,-0.02112631738710358,0.2615043477938972,0.29040079663281965,0.2839781296157135,0.3242762005945132,0.2740313248462817,-0.0634344795418621,0.48853729774151633,0.24537919648178516,0.4702910004923428,0.19926185602120405,0.3000706622490498,0.031315040840480785,0.024701902675054784,0.2626052101118609,0.28557188702922376,-0.029602951426224725,0.04219683436982899,0.08641038667581996,0.1159670654151729,-0.0467893985418537,0.020402398853218057,-0.19528230677065242,0.37102211545245417,-0.06723807008194353,0.19089025757507214,0.430783290547365,-0.12001978157369345,-0.06081773477848331,0.14677696275730337,0.15568445498012207,-0.05934086485582549,-0.19730359040042644
ni4-5HT4,0.9313903685907521,-0.05332109263077624,0.9194186653438811,1.0,0.2312382235680414,0.7759470194753033,-0.1196541014374188,0.426202260334571,-0.06591470253982239,-0.23653923749801026,-0.243191417688062,0.41523745358836445,0.5777438855099449,0.27043685241192433,0.22970566786482413,0.16140328796129372,-0.14379740650114572,0.2641400474574012,0.12093863484084001,0.27226185231937866,0.3242391823408123,0.33767310660886884,-0.15420693944183878,0.4181470883292552,0.20528472589834046,0.5305493138666677,0.19760714008077382,0.47307074226231793,-0.05872196766891536,-0.19264669164758033,0.3321395622798168,0.334757825145312,0.04498669178247372,0.1844795624147102,0.1247376676059959,0.25846573266545575,0.0695382082251952,0.15158739416334938,-0.34638383772184805,0.3960267186207952,-0.23393349650893086,0.12630708290239728,0.39735705836835905,0.04088384687984208,-0.037841417718022186,0.30829370431189,0.32272692655864776,-0.08437631648208106,-0.30689242865657057
ni5-5HT6,0.15744233481529743,0.5247892735908076,0.25966083875959234,0.2312382235680414,1.0,-0.08467185169006837,0.44245697553463614,0.455739124962519,0.1418502463564784,0.15841961671300117,0.15939689861070494,0.2359358399626856,0.4744703613351744,0.001654715940430226,0.14934274090554053,0.36452244601813155,0.18280724225115405,0.29121519821423947,0.4195500801445193,0.6071808008529006,0.620074258616924,0.2772185964899292,0.3838052543709303,0.38561174515153424,0.5431281164742334,0.2128623624309147,0.05957717750622832,0.19176558256839674,0.13356996671264795,0.05213774993278423,0.374577400227103,0.27036745333460294,-0.2366732251774645,-0.060925704381184144,0.011356088569784007,-0.06599256359364465,-0.06192827926340616,0.004291791707358098,-0.22960507225779928,0.32732527481653145,-0.00482392760638363,0.0055180179094604116,0.07978568033867602,-0.1513001178990204,-0.1644030003982143,-0.043453909029845826,-0.0560747843741253,-0.12788228228465764,-0.22997960294221081
ni6-5HTT,0.7863713597174767,-0.2276178383560934,0.6965502689376132,0.7759470194753033,-0.08467185169006837,1.0,-0.3446362401300081,0.1830811773285407,0.06415633548902965,-0.31207128234932646,-0.11598189067028952,0.4085630624460922,0.38079567034504713,0.4873156953693866,0.32920333016210296,0.18668305341363828,-0.40420601398549627,0.2755490732480186,-0.13536094648271063,0.04624320252316417,0.14579269037562423,0.17722859141842842,-0.26196707596515845,0.3051377634311479,0.012275252927218412,0.5283467277714641,0.3121305115552479,0.28224218160307485,-0.09109742425020789,-0.20860691256110697,0.13491765871778869,0.18862868000421362,0.3421421747586011,0.1257363864309786,0.26091047295518177,0.3200045501476911,0.13925186705477927,0.09907946273559089,-0.23104145357944428,0.24231656494720266,-0.23093348397674343,0.206516929537398,0.37984284638738824,0.03811134172477427,0.09150231026033602,0.3472938672303265,0.3550483983385899,0.005431256621575814,-0.12319304649122483
ni7-A4B2,-0.1234225596641704,0.684038099186709,-0.0042904156039343,-0.1196541014374188,0.44245697553463614,-0.3446362401300081,1.0,0.3014026216327271,0.3479789884391994,0.44699541343836646,0.0010439147543653776,0.057985392597089624,-0.02509467418384005,-0.21763771715833077,-0.16557894697875522,0.3461169702780441,0.5104150856787482,0.4164923723888249,0.4941825814309036,0.30427893994528704,0.47158293754650416,0.3215257443445363,0.6237020474796122,0.2112668756964059,0.40560530397539024,-0.04800527139932701,0.29890388950791635,-0.11642979228389076,0.40720350052895105,0.12598510212291444,0.17817298079980978,0.2045831168318813,-0.10431406043796161,-0.021150473957645254,0.20836205292641044,-0.04004515443029097,-0.03497443916059115,-0.14407772268978256,0.0788833629446762,0.014113169495894555,0.5558043783604506,-0.12666376819703395,-0.18949822091167925,-0.0740170187086601,0.06124575713204732,-0.01037665003099788,0.016716008132432483,0.07140646795764354,-0.09036525910926678
ni8-CB1,0.4986802992555629,0.30784749960205376,0.3314355308602672,0.426202260334571,0.455739124962519,0.1830811773285407,0.3014026216327271,1.0,-0.07481759255488882,-0.2535861433272747,-0.4480356263673618,0.47825362686340633,0.7154554911026627,0.09584025883162987,0.20696165279099124,0.09810947778349505,0.11784761065681487,0.726535054435342,0.2719249862107005,0.6082839448131874,0.6084653342563218,0.7985799797880335,0.16745577244139084,0.2206547048349541,0.5145574282678789,0.4804821257362005,0.361290752470043,0.44758027588182314,0.02162862505532037,-0.43794784489801314,0.595244131804169,0.5811039699075993,0.12628587458758106,0.437970981241449,0.15712662038762604,0.48152514775951705,0.3890684633324505,0.24726967047110335,-0.6372211709113571,0.10522023388920074,0.05759407092641559,-0.3125642877044319,0.2413351983797969,0.2717941945131496,-0.3391942189991444,0.47909968775598766,0.5207335377688765,-0.4153050767887528,-0.7289301354497902
ni9-CBF,-0.14523001291937054,0.4522297945116737,0.12976378652313456,-0.06591470253982239,0.1418502463564784,0.06415633548902965,0.3479789884391994,-0.07481759255488882,1.0,0.7418791205943651,0.2006833569633186,0.3224400952109485,-0.31663933485601753,0.08937687173545275,0.1051503496374062,0.5176373469757938,0.2973084027734076,0.37186316572702,0.40645672381051096,0.045617594035618964,0.3878032257706275,0.13400978022262777,0.27175100041830624,0.4448705656759348,0.102303645927807,0.19210252575545,0.3604726490632531,-0.37365773057552626,0.4311052713268479,0.22486790593930023,-0.013891446204633916,0.10360647393454722,0.21538200513058423,-0.1024265204193167,0.25374977466177295,-0.009638215069668972,-0.06103174595526532,-0.18686260578860714,0.2873668816741251,-0.15397043753724635,0.49408625421658714,-0.04273089829747418,0.04745071235839629,-0.202996349277903,0.12024921697943271,-0.04055608201450027,-0.060811950692624336,0.12851660370052503,0.19263188678337287
ni10-CMRglu,-0.4106619974309332,0.535831818669786,0.006885395188367384,-0.23653923749801026,0.15841961671300117,-0.31207128234932646,0.44699541343836646,-0.2535861433272747,0.7418791205943651,1.0,0.3145737162995073,-0.05307307033098021,-0.5452751751888857,-0.3476384205051511,-0.2873578961786057,0.31643943628603266,0.6172164494312146,0.03721074862014459,0.48646057370889584,0.0029614602960719933,0.07758655793171614,-0.1326771230893954,0.3158730570044089,0.17932382457789936,0.0224515708695958,-0.09267889996557302,-0.024828142757193573,-0.49356954254651886,0.45238299517339053,0.5245491064071792,-0.23706847104449433,-0.1430346592065477,-0.229522167027154,-0.29039388660698773,-0.031259128010510714,-0.3603890376150418,-0.243677753152681,-0.3713556644036549,0.45723777123768866,-0.1466246484963504,0.5056698501634908,-0.0620998738105557,-0.07042510139023776,-0.33465756765708976,0.06820401242039206,-0.297303941179841,-0.3451691796914637,0.15125962929800757,0.3478901446303172
